,id,name,label,nodeid,group,pagerank
1,BarbosaLeandro,0,3,"Barbosa, Leandro",0,52.36117079
2,BarnesHarrison,1,7,"Barnes, Harrison",1,75.43789635
3,BogutAndrew,2,7,"Bogut, Andrew",1,59.76578189
4,ClarkIan,3,3,"Clark, Ian",0,35.39582631
5,CurryStephen,4,3,"Curry, Stephen",0,469.4730011
6,EzeliFestus,5,7,"Ezeli, Festus",1,23.95272293
7,GreenDraymond,6,7,"Green, Draymond",1,397.2717521
8,IguodalaAndre,7,7,"Iguodala, Andre",1,151.4595846
9,LivingstonShaun,8,3,"Livingston, Shaun",0,167.1069455
10,LooneyKevon,9,7,"Looney, Kevon",1,2.775591326
11,McAdooJames Michael,10,7,"McAdoo, James Michael",1,7.304002136
12,RushBrandon,11,7,"Rush, Brandon",1,31.73176423
13,SpeightsMarreese,12,7,"Speights, Marreese",1,44.96842061
14,ThompsonKlay,13,3,"Thompson, Klay",0,179.5451813
15,VarejaoAnderson,14,7,"Varejao, Anderson",1,3.710621551
