id,SGBH,DMSM1,SGDD,SGFSSJ
1,3101176201400124,伤人事故,泗陈公路出佘北公路东约2米,2014-8-29 18:30:00
2,3101182201400408,死亡事故,嘉松中路出华隆路南约3000米,2014-8-12 22:55:00
3,3101158201500126,死亡事故,大川公路进周祝公路北约500米,2015-4-15 8:10:00
4,3101121201400291,死亡事故,苏召路立跃路北约200米,2014-11-26 11:50:00
5,3101155201400393,死亡事故,港城路出杨高北路西约300米,2014-9-11 15:05:00
6,3101158201400289,死亡事故,康新公路进新卫路南约40米,2014-7-2 7:18:00
7,3101173201400081,死亡事故,新绿街进新绿街新颖路西约150米,2014-7-5 8:06:00
8,3101087201400024,伤人事故,江场西路原平路东约5米,2014-7-23 12:40:00
9,3101171201400099,财产损失事故,辰花公路出光星路西约100米,2014-7-19 10:35:00
10,3101087201400022,死亡事故,天目中路大统路东约1米,2014-7-7 20:17:00
11,3102303201400108,死亡事故,协定公路协津公路西约500米,2014-9-25 16:15:00
12,3101120201400169,死亡事故,剑川路进莲花南路东约300米,2014-7-7 23:39:00
13,3101153201400321,死亡事故,御青路京浦路西约20米,2014-7-21 17:22:00
14,3101170201400085,死亡事故,塔闵公路出松卫北路西约1000米,2014-7-7 17:25:00
15,3101127201400173,死亡事故,沪闵路贵都路南约5米,2014-7-17 18:05:00
16,3101128201400172,伤人事故,春西路申旺路南约30米,2014-7-16 22:23:00
17,3101177201400118,死亡事故,昆港公路出新港路南约80米,2014-8-23 22:58:00
18,3101151201400342,死亡事故,汇成路园西路东约1米,2014-8-3 11:55:00
19,3101172201400093,死亡事故,滨湖路出新松江路南约100米,2014-7-11 15:33:00
20,3101146201400140,死亡事故,外钱公路进墨玉北路东约300米,2014-10-30 22:50:00
21,3101151201400407,死亡事故,东川公路上川路北约600米,2014-9-18 19:25:00
22,3101124201400210,伤人事故,春都路都庄路东约100米,2014-9-3 12:16:00
23,3101173201400087,死亡事故,嘉松南路沈砖公路东北约20米,2014-7-9 19:34:00
24,3101129201400202,伤人事故,三鲁公路立跃路北约400米,2014-8-24 20:07:00
25,3101126201400176,伤人事故,联跃路浦星公路东约0米,2014-7-20 22:04:00
26,3101121201400165,死亡事故,沪闵路莘建路南约300米,2014-7-6 20:51:00
27,3101121201400186,伤人事故,立跃路立民路北约0米,2014-7-29 11:37:00
28,3101086201400023,死亡事故,共和新路出彭江路北约100米,2014-7-21 10:34:00
29,3101175201400104,伤人事故,方泗公路进九干路南约200米,2014-7-18 17:45:00
30,3101107201400041,死亡事故,政立路淞沪路东北约1米,2014-10-23 9:23:00
31,3101151201400349,死亡事故,张杨北路航津路东约10米,2014-8-5 17:09:00
32,3101154201400392,死亡事故,张东路祖冲之路东约1米,2014-9-11 19:57:00
33,3101126201400167,伤人事故,漕宝路进龙茗路东约100米,2014-7-6 21:58:00
34,3101152201400436,死亡事故,东高路张杨北路西约5米,2014-10-4 7:15:00
35,3103013201400005,伤人事故,沪渝高速北侧中春路下匝道后约1000米,2014-7-20 22:25:00
36,3101153201400292,死亡事故,五洲大道北侧申江路上匝道,2014-7-2 21:40:00
37,3101160201400056,死亡事故,金展路林贤路南约200米,2014-8-6 8:56:00
38,3101175201400082,伤人事故,沪昆高速北侧36km约900米,2014-7-3 3:30:00
39,3101184201400392,死亡事故,崧泽大道出赵重公路东约1500米,2014-8-2 21:38:00
40,3101057201400023,死亡事故,北翟路出剑河路西约100米,2014-7-14 15:28:00
41,3101173201400092,死亡事故,玉树路进兴仓路北约80米,2014-7-12 19:40:00
42,3101138201400126,伤人事故,外环高速东侧85km约200米,2014-7-23 4:05:00
43,3101136201400146,死亡事故,恒高路进江杨南路东约30米,2014-8-29 18:32:00
44,3101183201400376,死亡事故,嘉松中路纪鹤公路西北约10米,2014-7-23 8:01:00
45,3101120201400164,死亡事故,老沪闵路进华泾路西约200米,2014-7-4 10:50:00
46,3101180201400381,死亡事故,新胜路进白石公路南约500米,2014-7-26 0:57:00
47,3101049201400038,死亡事故,龙吴路银都路西北约20米,2014-7-16 10:07:00
48,3101177201400106,死亡事故,申港路出华磊路南约500米,2014-8-3 20:15:00
49,3101124201400230,伤人事故,吴中路出环镇西路东约100米,2014-9-27 7:10:00
50,3101130201400133,死亡事故,泰和西路富长路东约500米,2014-7-31 17:35:00
51,3101147201400104,死亡事故,永盛路希望路东约1米,2014-8-6 15:35:00
52,3101158201400288,死亡事故,申江南路周祝公路(南)南约30米,2014-7-2 1:00:00
53,3101152201400411,死亡事故,高科中路伽利略路东约1米,2014-9-21 22:32:00
54,3101148201400117,死亡事故,宝钱公路沪宜公路北约1米,2014-8-30 6:40:00
55,3101157201400423,死亡事故,南团公路进宣黄公路南约300米,2014-9-27 18:10:00
56,3101121201400179,死亡事故,联友路周泾路东北约5米,2014-7-22 17:09:00
57,3101097201400022,伤人事故,周家嘴路公平路南约00米,2014-7-21 15:15:00
58,3101134201400118,死亡事故,其他路大华路301弄83号,2014-7-8 9:29:00
59,3101171201400110,死亡事故,同利路进盛龙路西约500米,2014-8-12 9:55:00
60,3101168201400091,死亡事故,卫六路进板桥西路南约100米,2014-10-14 17:54:00
61,3101157201400424,死亡事故,栏学路科农路东约1米,2014-9-23 10:10:00
62,3101133201400130,死亡事故,宝安公路进联杨路西约200米,2014-7-30 9:16:00
63,3101146201400110,死亡事故,金昌西路老翔黄路西约300米,2014-8-21 12:45:00
64,3101174201400115,伤人事故,九泾路进沧泾路北约200米,2014-8-10 21:00:00
65,3101165201400083,死亡事故,亭枫公路金石公路东约50米,2014-9-17 12:14:00
66,3101123201400239,伤人事故,银都路景洪路西约200米,2014-9-29 21:50:00
67,3101156201400316,死亡事故,川周公路秀浦路西约10米,2014-7-21 3:46:00
68,3101142201400109,死亡事故,曹安公路出淞阳南路西约300米,2014-8-19 19:35:00
69,3101157201400295,死亡事故,沪南公路康新公路东约5米,2014-7-4 12:25:00
70,3101177201400083,死亡事故,沪昆高速北侧47km约200米,2014-7-7 14:33:00
71,3101146201400094,死亡事故,新建一路澄浏公路南约30米,2014-7-9 8:43:00
72,3101156201400305,死亡事故,上丰路进金丰路南约1米,2014-7-10 17:59:00
73,3101180201400359,死亡事故,杜村公路出友爱路北约1000米,2014-7-12 11:07:00
74,3101141201400113,死亡事故,嘉罗公路迎园中路北约10米,2014-8-25 13:35:00
75,3101106201400053,死亡事故,营口路出佳木斯路北约150米,2014-11-17 6:30:00
76,3101124201400178,伤人事故,七莘路润虹路东北约0米,2014-7-22 9:10:00
77,3101151201400308,死亡事故,其他路航头镇海桥村,2014-7-13 16:50:00
78,3101176201400101,死亡事故,文翔路辰塔路西约5米,2014-7-27 11:32:00
79,3101174201400135,伤人事故,场东路出莘松路南约100米,2014-9-18 19:22:00
80,3101181201400367,死亡事故,沪青平公路进高泾路东约5米,2014-7-17 10:08:00
81,3101151201400365,死亡事故,巨峰路进申江路东约400米,2014-8-14 17:15:00
82,3101174201400086,死亡事故,中山中路出人民南路(东)东约3米,2014-7-7 3:55:00
83,3102304201400076,死亡事故,其他路庙镇合中村路,2014-7-14 15:10:00
84,3101173201400080,死亡事故,荣乐东路松东路东约10米,2014-7-4 20:05:00
85,3101128201400189,伤人事故,沪闵路新苗路北约5米,2014-7-30 6:17:00
86,3101139201400138,死亡事故,宝祁路南侧0km约319米,2014-8-13 14:42:00
87,3101137201400119,死亡事故,�川路联谊路路口,2014-7-9 6:20:00
88,3101158201400296,死亡事故,靖海路进人民东路南约50米,2014-7-6 3:08:00
89,3101165201400082,死亡事故,漕廊公路进沪杭公路西约50米,2014-9-17 2:27:00
90,3101163201400081,死亡事故,亭枫公路新顺路西约150米,2014-9-16 7:15:00
91,3101153201400379,死亡事故,下盐路军港公路东约1米,2014-8-28 8:25:00
92,3101122201400170,死亡事故,浦星公路出沈杜公路南约100米,2014-7-9 3:44:00
93,3101176201400116,伤人事故,莘砖公路同乐路北约3米,2014-8-20 4:18:00
94,3101159201400297,死亡事故,川南奉公路进东大公路北约1000米,2014-7-6 12:20:00
95,3101075201400062,死亡事故,古浪路进真南路东约100米,2014-7-26 2:40:00
96,3101170201400084,死亡事故,沪昆高速出沪方向新桥入口匝道,2014-7-7 16:55:00
