设备号码,线路编码,站点编码,协议编号,进出站状态,方向,车载上报时间
059L0809,10065,938A0000,42,进站,下行,2015-04-01 04:45:12
059L0809,10065,938A0000,42,出站,下行,2015-04-01 04:45:20
059L0809,10065,918A0006,42,进站,下行,2015-04-01 04:46:23
059L0809,10065,918A0006,42,出站,下行,2015-04-01 04:47:10
059L0809,10065,908A0001,42,进站,下行,2015-04-01 04:47:46
059L0809,10065,908A0001,42,出站,下行,2015-04-01 04:47:55
059L0809,10065,8C890000,42,进站,下行,2015-04-01 04:53:11
059L0809,10065,8C890000,42,出站,下行,2015-04-01 04:53:19
059L0809,10065,8A890001,42,进站,下行,2015-04-01 04:54:17
059L0809,10065,8A890001,42,出站,下行,2015-04-01 04:54:24
059L0809,10065,88890000,42,进站,下行,2015-04-01 04:55:04
059L0809,10065,88890000,42,出站,下行,2015-04-01 04:55:08
059L0809,10065,868A0000,42,进站,下行,2015-04-01 04:56:23
059L0809,10065,868A0000,42,出站,下行,2015-04-01 04:56:33
059L0809,10065,858A0001,42,进站,下行,2015-04-01 04:57:28
059L0809,10065,858A0001,42,出站,下行,2015-04-01 04:57:41
059L0809,10065,848B0000,42,进站,下行,2015-04-01 04:58:03
059L0809,10065,848B0000,42,出站,下行,2015-04-01 04:58:09
059L0809,10065,828A0000,42,进站,下行,2015-04-01 04:58:52
059L0809,10065,828A0000,42,出站,下行,2015-04-01 04:59:00
059L0809,10065,828A0001,42,进站,下行,2015-04-01 04:59:21
059L0809,10065,828A0001,42,出站,下行,2015-04-01 04:59:29
059L0809,10065,8189000E,42,进站,下行,2015-04-01 05:01:07
059L0809,10065,948B0001,43,出站,下行,2015-04-01 06:58:41
059L0809,10065,938A0000,42,进站,下行,2015-04-01 06:59:44
059L0809,10065,938A0000,42,出站,下行,2015-04-01 07:01:01
059L0809,10065,938B0010,42,进站,下行,2015-04-01 07:01:53
059L0809,10065,938B0010,42,出站,下行,2015-04-01 07:02:00
059L0809,10065,928B0001,42,进站,下行,2015-04-01 07:04:08
059L0809,10065,928B0001,42,出站,下行,2015-04-01 07:04:49
059L0809,10065,928B0003,42,进站,下行,2015-04-01 07:05:54
059L0809,10065,928B0003,42,出站,下行,2015-04-01 07:06:29
059L0809,10065,918A0006,42,进站,下行,2015-04-01 07:07:09
059L0809,10065,918A0006,42,出站,下行,2015-04-01 07:07:52
059L0809,10065,908A0001,42,进站,下行,2015-04-01 07:08:38
059L0809,10065,908A0001,42,出站,下行,2015-04-01 07:09:23
059L0809,10065,8F890000,42,进站,下行,2015-04-01 07:11:15
059L0809,10065,8F890000,42,出站,下行,2015-04-01 07:11:43
059L0809,10065,8E890000,42,进站,下行,2015-04-01 07:12:53
059L0809,10065,8E890000,42,出站,下行,2015-04-01 07:13:05
059L0809,10065,8D890000,42,进站,下行,2015-04-01 07:13:52
059L0809,10065,8D890000,42,出站,下行,2015-04-01 07:14:17
059L0809,10065,8C890000,42,进站,下行,2015-04-01 07:15:04
059L0809,10065,8C890000,42,出站,下行,2015-04-01 07:15:34
059L0809,10065,8A890001,42,进站,下行,2015-04-01 07:17:03
059L0809,10065,8A890001,42,出站,下行,2015-04-01 07:17:13
059L0809,10065,88890000,42,进站,下行,2015-04-01 07:18:37
059L0809,10065,88890000,42,出站,下行,2015-04-01 07:18:56
059L0809,10065,868A0000,42,进站,下行,2015-04-01 07:21:18
059L0809,10065,868A0000,42,出站,下行,2015-04-01 07:22:05
059L0809,10065,858A0001,42,进站,下行,2015-04-01 07:23:13
059L0809,10065,858A0001,42,出站,下行,2015-04-01 07:23:43
059L0809,10065,848B0000,42,进站,下行,2015-04-01 07:24:11
059L0809,10065,848B0000,42,出站,下行,2015-04-01 07:24:46
059L0809,10065,828A0000,42,进站,下行,2015-04-01 07:27:38
059L0809,10065,828A0000,42,出站,下行,2015-04-01 07:28:45
059L0809,10065,828A0001,42,进站,下行,2015-04-01 07:30:45
059L0809,10065,828A0001,42,出站,下行,2015-04-01 07:31:16
059L0809,10065,8189000E,42,进站,下行,2015-04-01 07:33:32
059L0809,10065,8189000E,42,出站,下行,2015-04-01 07:34:28
059L0809,10065,7E860000,42,进站,下行,2015-04-01 07:42:17
059L0809,10065,7E860000,42,出站,下行,2015-04-01 07:42:51
059L0809,10065,7C840013,42,进站,下行,2015-04-01 07:46:51
059L0809,10065,7C840013,42,出站,下行,2015-04-01 07:47:32
059L0809,10065,7C830010,42,进站,下行,2015-04-01 07:49:06
059L0809,10065,7C830010,42,出站,下行,2015-04-01 07:49:24
059L0809,10065,7C82000B,42,进站,下行,2015-04-01 07:50:21
059L0809,10065,7C82000B,42,出站,下行,2015-04-01 07:50:47
059L0809,10065,7B7F000D,42,进站,下行,2015-04-01 07:53:43
059L0809,10065,7B7F000D,42,出站,下行,2015-04-01 07:54:06
059L0809,10065,7B7E0015,42,进站,下行,2015-04-01 07:55:14
059L0809,10065,7B7E0015,42,出站,下行,2015-04-01 07:55:45
059L0809,10065,7B7E0018,42,进站,下行,2015-04-01 07:56:22
059L0809,10065,7B7E0018,42,出站,下行,2015-04-01 07:57:05
059L0809,10065,7B7C0004,42,进站,下行,2015-04-01 07:58:58
059L0809,10065,7B7C0004,42,出站,下行,2015-04-01 07:59:37
059L0809,10065,7A7C0001,42,进站,下行,2015-04-01 08:00:23
059L0809,10065,7A7C0001,42,出站,下行,2015-04-01 08:00:59
059L0809,10065,797D0001,43,进站,下行,2015-04-01 08:03:23
059L0809,10065,797D0001,43,出站,上行,2015-04-01 08:07:53
059L0809,10065,7B7C0004,42,进站,上行,2015-04-01 08:12:24
059L0809,10065,7B7E0017,42,进站,上行,2015-04-01 08:16:22
059L0809,10065,7B7E0017,42,出站,上行,2015-04-01 08:16:44
059L0809,10065,7B7F000E,42,进站,上行,2015-04-01 08:17:19
059L0809,10065,7B7F000E,42,出站,上行,2015-04-01 08:17:34
059L0809,10065,7B800015,42,进站,上行,2015-04-01 08:19:37
059L0809,10065,7B800015,42,出站,上行,2015-04-01 08:20:56
059L0809,10065,7C82000D,42,进站,上行,2015-04-01 08:22:30
059L0809,10065,7C82000D,42,出站,上行,2015-04-01 08:22:51
059L0809,10065,7C830012,42,进站,上行,2015-04-01 08:24:17
059L0809,10065,7C830012,42,出站,上行,2015-04-01 08:24:33
059L0809,10065,7D84000C,42,进站,上行,2015-04-01 08:25:05
059L0809,10065,7D84000C,42,出站,上行,2015-04-01 08:25:35
059L0809,10065,7F870000,42,进站,上行,2015-04-01 08:28:55
059L0809,10065,7F870000,42,出站,上行,2015-04-01 08:29:48
059L0809,10065,81890001,42,进站,上行,2015-04-01 08:33:09
059L0809,10065,81890001,42,出站,上行,2015-04-01 08:33:48
059L0809,10065,828A0002,42,进站,上行,2015-04-01 08:34:24
059L0809,10065,828A0002,42,出站,上行,2015-04-01 08:35:01
059L0809,10065,828B0002,42,进站,上行,2015-04-01 08:35:58
059L0809,10065,828B0002,42,出站,上行,2015-04-01 08:36:23
059L0809,10065,848B0001,42,进站,上行,2015-04-01 08:38:09
059L0809,10065,848B0001,42,出站,上行,2015-04-01 08:38:37
059L0809,10065,858A0000,42,进站,上行,2015-04-01 08:39:11
059L0809,10065,858A0000,42,出站,上行,2015-04-01 08:40:11
059L0809,10065,868A0005,42,进站,上行,2015-04-01 08:41:17
059L0809,10065,868A0005,42,出站,上行,2015-04-01 08:41:40
059L0809,10065,88890001,42,进站,上行,2015-04-01 08:44:11
059L0809,10065,88890001,42,出站,上行,2015-04-01 08:44:47
059L0809,10065,8A890000,42,进站,上行,2015-04-01 08:46:48
059L0809,10065,8A890000,42,出站,上行,2015-04-01 08:47:12
059L0809,10065,8C890001,42,进站,上行,2015-04-01 08:48:11
059L0809,10065,8C890001,42,出站,上行,2015-04-01 08:49:03
059L0809,10065,8D890001,42,进站,上行,2015-04-01 08:50:40
059L0809,10065,8D890001,42,出站,上行,2015-04-01 08:51:09
059L0809,10065,8E890001,42,进站,上行,2015-04-01 08:51:33
059L0809,10065,8E890001,42,出站,上行,2015-04-01 08:51:55
059L0809,10065,8F890001,42,进站,上行,2015-04-01 08:53:11
059L0809,10065,8F890001,42,出站,上行,2015-04-01 08:53:43
059L0809,10065,908A0000,42,进站,上行,2015-04-01 08:55:14
059L0809,10065,908A0000,42,出站,上行,2015-04-01 08:55:52
059L0809,10065,928B0005,42,进站,上行,2015-04-01 08:57:22
059L0809,10065,928B0000,42,进站,上行,2015-04-01 08:59:38
059L0809,10065,928B0000,42,出站,上行,2015-04-01 09:00:21
059L0809,10065,938B000E,42,进站,上行,2015-04-01 09:01:40
059L0809,10065,938B000E,42,出站,上行,2015-04-01 09:02:11
059L0809,10065,938A0001,42,进站,上行,2015-04-01 09:03:09
059L0809,10065,938A0001,42,出站,上行,2015-04-01 09:03:43
059L0809,10065,948B0001,43,进站,上行,2015-04-01 09:04:19
059L0809,10065,948B0001,43,出站,下行,2015-04-01 09:13:15
059L0809,10065,938A0000,42,进站,下行,2015-04-01 09:14:02
059L0809,10065,938A0000,42,出站,下行,2015-04-01 09:14:43
059L0809,10065,938B0010,42,进站,下行,2015-04-01 09:15:18
059L0809,10065,938B0010,42,出站,下行,2015-04-01 09:15:24
059L0809,10065,928B0001,42,进站,下行,2015-04-01 09:17:11
059L0809,10065,928B0001,42,出站,下行,2015-04-01 09:18:22
059L0809,10065,928B0003,42,进站,下行,2015-04-01 09:18:59
059L0809,10065,928B0003,42,出站,下行,2015-04-01 09:19:45
059L0809,10065,918A0006,42,进站,下行,2015-04-01 09:20:38
059L0809,10065,918A0006,42,出站,下行,2015-04-01 09:21:52
059L0809,10065,908A0001,42,进站,下行,2015-04-01 09:22:36
059L0809,10065,908A0001,42,出站,下行,2015-04-01 09:24:27
059L0809,10065,8F890000,42,进站,下行,2015-04-01 09:25:14
059L0809,10065,8F890000,42,出站,下行,2015-04-01 09:25:42
059L0809,10065,8E890000,42,进站,下行,2015-04-01 09:26:54
059L0809,10065,8E890000,42,出站,下行,2015-04-01 09:27:22
059L0809,10065,8D890000,42,进站,下行,2015-04-01 09:27:59
059L0809,10065,8D890000,42,出站,下行,2015-04-01 09:28:25
059L0809,10065,8C890000,42,进站,下行,2015-04-01 09:29:52
059L0809,10065,8C890000,42,出站,下行,2015-04-01 09:30:25
059L0809,10065,8A890001,42,进站,下行,2015-04-01 09:31:48
059L0809,10065,8A890001,42,出站,下行,2015-04-01 09:32:19
059L0809,10065,88890000,42,进站,下行,2015-04-01 09:33:21
059L0809,10065,88890000,42,出站,下行,2015-04-01 09:33:43
059L0809,10065,868A0000,42,进站,下行,2015-04-01 09:36:36
059L0809,10065,868A0000,42,出站,下行,2015-04-01 09:37:16
059L0809,10065,858A0001,42,进站,下行,2015-04-01 09:38:48
059L0809,10065,858A0001,42,出站,下行,2015-04-01 09:39:18
059L0809,10065,848B0000,42,进站,下行,2015-04-01 09:39:49
059L0809,10065,848B0000,42,出站,下行,2015-04-01 09:40:20
059L0809,10065,828A0000,42,进站,下行,2015-04-01 09:41:15
059L0809,10065,828A0000,42,出站,下行,2015-04-01 09:41:52
059L0809,10065,828A0001,42,进站,下行,2015-04-01 09:42:23
059L0809,10065,828A0001,42,出站,下行,2015-04-01 09:42:56
059L0809,10065,8189000E,42,进站,下行,2015-04-01 09:44:01
059L0809,10065,8189000E,42,出站,下行,2015-04-01 09:44:47
059L0809,10065,7E860000,42,进站,下行,2015-04-01 09:48:26
059L0809,10065,7E860000,42,出站,下行,2015-04-01 09:48:58
059L0809,10065,7C840013,42,进站,下行,2015-04-01 09:51:44
059L0809,10065,7C840013,42,出站,下行,2015-04-01 09:52:24
059L0809,10065,7C830010,42,进站,下行,2015-04-01 09:53:06
059L0809,10065,7C830010,42,出站,下行,2015-04-01 09:53:21
059L0809,10065,7C82000B,42,进站,下行,2015-04-01 09:54:23
059L0809,10065,7C82000B,42,出站,下行,2015-04-01 09:54:52
059L0809,10065,7B7F000D,42,进站,下行,2015-04-01 09:56:56
059L0809,10065,7B7F000D,42,出站,下行,2015-04-01 09:57:11
059L0809,10065,7B7E0015,42,进站,下行,2015-04-01 09:58:03
059L0809,10065,7B7E0015,42,出站,下行,2015-04-01 09:58:31
059L0809,10065,7B7E0018,42,进站,下行,2015-04-01 09:59:09
059L0809,10065,7B7E0018,42,出站,下行,2015-04-01 09:59:40
059L0809,10065,7B7C0004,42,进站,下行,2015-04-01 10:01:48
059L0809,10065,7B7C0004,42,出站,下行,2015-04-01 10:02:26
059L0809,10065,7A7C0001,42,进站,下行,2015-04-01 10:03:04
059L0809,10065,7A7C0001,42,出站,下行,2015-04-01 10:03:42
059L0809,10065,797D0001,43,进站,下行,2015-04-01 10:05:34
059L0809,10065,797D0001,43,出站,上行,2015-04-01 10:13:21
059L0809,10065,7A7C0001,42,进站,上行,2015-04-01 10:16:44
059L0809,10065,7B7C0004,42,进站,上行,2015-04-01 10:18:16
059L0809,10065,7B7E0017,42,进站,上行,2015-04-01 10:22:42
059L0809,10065,7B7E0017,42,出站,上行,2015-04-01 10:23:03
059L0809,10065,7B7F000E,42,进站,上行,2015-04-01 10:23:42
059L0809,10065,7B7F000E,42,出站,上行,2015-04-01 10:24:30
059L0809,10065,7B800015,42,进站,上行,2015-04-01 10:25:57
059L0809,10065,7B800015,42,出站,上行,2015-04-01 10:26:56
059L0809,10065,7C82000D,42,进站,上行,2015-04-01 10:28:32
059L0809,10065,7C82000D,42,出站,上行,2015-04-01 10:29:02
059L0809,10065,7C830012,42,进站,上行,2015-04-01 10:30:04
059L0809,10065,7C830012,42,出站,上行,2015-04-01 10:31:03
059L0809,10065,7D84000C,42,进站,上行,2015-04-01 10:31:39
059L0809,10065,7D84000C,42,出站,上行,2015-04-01 10:31:53
059L0809,10065,7F870000,42,进站,上行,2015-04-01 10:35:35
