XLID,ZDID,SZGJFX,ZDMC,SOURCE_LON,SOURCE_LAT
1,7A850001,0,羽山路民生路,0,0
10065,797D0001,0,东昌路渡口,121.5,31.2325
10065,7A7C0002,0,陆家嘴环路名商路,121.496,31.2374
10065,7B7C0008,0,陆家嘴环路丰和路,121.497,31.2414
10065,7B7E0017,0,银城路浦东南路,121.505,31.2434
10065,7B7F000E,0,银城路日照路,121.511,31.2439
10065,7B800015,0,昌邑路钱仓路,121.516,31.2438
10065,7C82000D,0,昌邑路桃林路,121.528,31.2458
10065,7C830012,0,昌邑路民生路,121.534,31.2474
10065,7D84000C,0,昌邑路苗圃路,121.539,31.2499
10065,7F870000,0,浦东大道德平路,121.553,31.2584
10065,81890001,0,浦东大道金桥路,121.565,31.2675
10065,828A0002,0,八号桥,121.57,31.2712
10065,828B0002,0,浦东大道五莲路,121.572,31.2755
10065,848B0001,0,浦东大道利津路,121.572,31.2815
10065,858A0000,0,浦东大道东波路,121.572,31.2856
10065,868A0005,0,东葛路东靖路,121.568,31.2929
10065,88890001,0,东塘路朱家浜,121.564,31.3014
10065,8A890000,0,东塘路桂家村,121.562,31.3083
10065,8C890001,0,东塘路行南路,121.562,31.3172
10065,8D890001,0,东塘路马路桥,121.563,31.3232
10065,8E890001,0,东塘路高沙滩,121.564,31.3266
10065,8F890001,0,大同路东塘路,121.565,31.3329
10065,908A0000,0,大同路浦东北路,121.568,31.3372
10065,918A0007,0,大同路和龙路,121.572,31.3417
10065,928B0005,0,大同路石家街,121.575,31.3441
10065,928B0000,0,大同路清溪路,121.574,31.3471
10065,938B000E,0,花山路同港路,121.572,31.3503
10065,938A0001,0,张杨北路花山路,121.569,31.3502
10065,948B0001,0,港城路地铁站,121.569,31.3536
10065,948B0001,1,港城路地铁站,121.569,31.3539
10065,938A0000,1,张杨北路花山路,121.569,31.3502
10065,938B0010,1,花山路同港路,121.572,31.3501
10065,928B0001,1,大同路清溪路,121.574,31.3466
10065,928B0003,1,大同路石家街,121.575,31.3443
10065,918A0006,1,大同路和龙路,121.572,31.3414
10065,908A0001,1,大同路浦东北路,121.568,31.3366
10065,8F890000,1,大同路东塘路,121.565,31.3329
10065,8E890000,1,东塘路高沙滩,121.564,31.3271
10065,8D890000,1,东塘路马路桥,121.563,31.3223
10065,8C890000,1,东塘路行南路,121.562,31.3172
10065,8A890001,1,东塘路桂家村,121.562,31.3076
10065,88890000,1,东塘路朱家浜,121.564,31.3022
10065,868A0000,1,东葛路东靖路,121.567,31.2931
10065,858A0001,1,浦东大道东波路,121.571,31.286
10065,848B0000,1,浦东大道利津路,121.572,31.282
10065,828A0000,1,浦东大道五莲路,121.572,31.2747
10065,828A0001,1,八号桥,121.57,31.2713
10065,8189000E,1,浦东大道金桥路,121.565,31.2671
10065,7E860000,1,浦东大道德平路,121.551,31.2566
10065,7C840013,1,昌邑路苗圃路,121.538,31.2489
10065,7C830010,1,昌邑路民生路,121.533,31.2473
10065,7C82000B,1,昌邑路桃林路,121.528,31.246
10065,7B7F000D,1,昌邑路钱仓路,121.514,31.2435
10065,7B7E0015,1,银城路日照路,121.509,31.2442
10065,7B7E0018,1,银城路浦东南路,121.506,31.244
10065,7B7C0004,1,陆家嘴环路丰和路,121.497,31.2421
10065,7A7C0001,1,陆家嘴环路名商路,121.496,31.239
10065,797D0001,1,东昌路渡口,121.5,31.2322
10066,7A7B0000,0,陆家嘴,121.493,31.2385
10066,7B7C0008,0,陆家嘴环路丰和路,121.497,31.2416
10066,7A7E0012,0,浦东南路浦东大道,121.507,31.2391
10066,797F0004,0,浦东南路商城路,121.51,31.2328
10066,777F0000,0,浦东南路潍坊路,121.514,31.2238
10066,767F0002,0,浦东南路浦电路,121.514,31.2216
10066,757F0001,0,浦东南路宁阳路,121.514,31.2143
10066,747F0001,0,浦东南路浦建路,121.512,31.212
10066,727E0004,0,浦东南路浦三路,121.507,31.2015
10066,707D0019,0,浦东南路华丰路,121.502,31.1937
10066,6F7C0000,0,浦东南路高科西路（上海长途东站）,121.497,31.1856
10066,6E7C0000,0,浦东南路洪山路,121.495,31.1833
10066,6E7B0018,0,雪野路上南路,121.491,31.184
10066,6D7A0001,0,耀华路历城路,121.486,31.1799
10066,6C790001,0,耀华路长清路,121.482,31.1768
10066,6C780021,0,耀华路济阳路,121.475,31.1734
10066,6C770020,0,通耀路耀龙路,121.468,31.175
10066,6C770020,1,通耀路耀龙路,121.468,31.1747
10066,6C780020,1,耀华路济阳路,121.476,31.1735
10066,6C790003,1,耀华路西营路,121.48,31.1756
10066,6D7A000D,1,耀华路长清路,121.484,31.1779
10066,6E7B0019,1,雪野路上南路,121.49,31.1835
10066,6E7C0001,1,浦东南路洪山路,121.494,31.1822
10066,6F7C0001,1,浦东南路高科西路（上海长途东站）,121.497,31.1852
10066,717D0002,1,浦东南路华丰路,121.503,31.195
10066,727E0005,1,浦东南路浦三路,121.505,31.1988
10066,757F0000,1,浦东南路宁阳路,121.514,31.2145
10066,76800000,1,浦东南路浦电路,121.514,31.2224
10066,797F0003,1,浦东南路商城路,121.51,31.2331
10066,7A7E0002,1,浦东南路浦东大道,121.507,31.2386
10066,7B7C0004,1,陆家嘴环路丰和路,121.497,31.2422
10066,7A7B0000,1,陆家嘴,121.493,31.2383
10067,6A830002,0,三林世博家园,121.533,31.1645
10067,6B830000,0,东书房路板泉路,121.531,31.1677
10067,6B820002,0,板泉路东书房路,121.528,31.1692
10067,6A820007,0,高青路浦三路,121.526,31.1638
10067,69810002,0,高青路杨高南路,121.521,31.1623
10067,69800015,0,高青路东明路,121.516,31.1612
10067,697F0017,0,东明路海阳路,121.511,31.1612
10067,697E0003,0,海阳路云台路,121.504,31.1613
10067,697D0003,0,海阳路洪山路,121.502,31.1607
10067,697D001C,0,洪山路海阳路,121.499,31.1616
10067,6A7B0002,0,上南路杨思路,121.493,31.1634
10067,6B7B0002,0,上南路德州路,121.492,31.1723
10067,6C7B0000,0,上南路昌里路,121.491,31.1751
