时间	PM2.5	PM10	O3	SO2	NO2	CO	AQI	质量评价	首要污染物
2014/7/1 0:00	50	87	87	11	24	0.7	69	良	PM2.5
2014/7/1 1:00	49	93	93	9	18	0.6	68	良	PM2.5
2014/7/1 2:00	44	92	92	8	17	0.6	62	良	PM2.5
2014/7/1 3:00	43	88	88	9	18	0.6	60	良	PM2.5
2014/7/1 4:00	44	83	83	8	18	0.6	62	良	PM2.5
2014/7/1 5:00	47	74	74	10	19	0.6	65	良	PM2.5
2014/7/1 6:00	48	67	67	9	23	0.7	67	良	PM2.5
2014/7/1 7:00	49	64	64	10	30	0.7	68	良	PM2.5
2014/7/1 8:00	49	52	52	10	42	0.7	68	良	PM2.5
2014/7/1 9:00	52	45	45	10	49	0.8	72	良	PM2.5
2014/7/1 10:00	54	42	42	9	52	0.9	74	良	PM2.5
2014/7/1 11:00	56	52	52	8	47	0.7	77	良	PM2.5
2014/7/1 12:00	53	57	57	7	44	0.7	73	良	PM2.5
2014/7/1 13:00	55	60	60	7	42	0.7	75	良	PM2.5
2014/7/1 14:00	50	60	60	7	40	0.7	69	良	PM2.5
2014/7/1 15:00	38	59	59	7	40	0.6	54	良	PM2.5
2014/7/1 16:00	26	61	61	7	40	0.6	38	优	PM2.5
2014/7/1 17:00	20	66	66	7	38	0.6	29	优	PM2.5
2014/7/1 18:00	20	71	71	7	35	0.6	29	优	PM2.5
2014/7/1 19:00	18	76	76	7	35	0.6	26	优	PM2.5
2014/7/1 20:00	23	66	66	8	40	0.7	33	优	PM2.5
2014/7/1 21:00	24	68	68	7	35	0.6	35	优	PM2.5
2014/7/1 22:00	23	68	68	7	29	0.6	33	优	PM2.5
2014/7/1 23:00	22	69	69	7	24	0.5	32	优	PM2.5
2014/7/2 0:00	24	74	74	7	18	0.5	35	优	PM2.5
2014/7/2 1:00	24	77	77	8	12	0.5	35	优	PM2.5
2014/7/2 2:00	25	76	76	7	14	0.5	36	优	PM2.5
2014/7/2 3:00	26	69	69	7	14	0.5	38	优	PM2.5
2014/7/2 4:00	27	60	60	8	15	0.5	39	优	PM2.5
2014/7/2 5:00	28	50	50	8	18	0.5	43	优	PM10
2014/7/2 6:00	29	38	38	9	24	0.6	47	优	PM10
2014/7/2 7:00	37	28	28	10	31	0.7	54	良	PM10
2014/7/2 8:00	55	22	22	12	43	0.8	75	良	PM2.5
2014/7/2 9:00	64	22	22	13	52	1	87	良	PM2.5
2014/7/2 10:00	60	22	22	13	59	1.2	82	良	PM2.5
2014/7/2 11:00	64	18	18	12	64	1.1	87	良	PM2.5
2014/7/2 12:00	63	19	19	11	68	1.2	85	良	PM2.5
2014/7/2 13:00	69	32	32	13	68	1.2	93	良	PM2.5
2014/7/2 14:00	98	38	38	14	67	1.2	129	轻度污染	PM2.5
2014/7/2 15:00	99	43	43	13	60	1.2	130	轻度污染	PM2.5
2014/7/2 16:00	79	51	51	10	51	1.1	105	轻度污染	PM2.5
2014/7/2 17:00	52	61	61	9	51	1.1	72	良	PM2.5
2014/7/2 18:00	43	60	60	7	55	1.2	60	良	PM2.5
2014/7/2 19:00	44	53	53	9	59	1.2	62	良	PM2.5
2014/7/2 20:00	47	49	49	10	57	1.3	65	良	PM2.5
2014/7/2 21:00	56	41	41	11	64	1.4	77	良	PM2.5
2014/7/2 22:00	64	34	34	12	64	1.4	87	良	PM2.5
2014/7/2 23:00	68	28	28	14	64	1.4	92	良	PM2.5
2014/7/3 0:00	71	22	22	14	63	1.3	95	良	PM2.5
2014/7/3 1:00	71	20	20	14	56	1.2	95	良	PM2.5
2014/7/3 2:00	73	21	21	17	52	1.3	98	良	PM2.5
2014/7/3 3:00	77	21	21	18	46	1.2	103	轻度污染	PM2.5
2014/7/3 4:00	83	29	29	20	37	1.2	110	轻度污染	PM2.5
2014/7/3 5:00	93	27	27	24	40	1.3	123	轻度污染	PM2.5
2014/7/3 6:00	106	23	23	32	45	1.4	139	轻度污染	PM2.5
2014/7/3 7:00	118	28	28	37	52	1.5	155	中度污染	PM2.5
2014/7/3 8:00	131	38	38	37	55	1.5	173	中度污染	PM2.5
2014/7/3 9:00	120	61	61	33	51	1.5	158	中度污染	PM2.5
2014/7/3 10:00	109	86	86	26	45	1.3	143	轻度污染	PM2.5
2014/7/3 11:00	103	103	103	22	41	1.2	135	轻度污染	PM2.5
2014/7/3 12:00	101	114	114	21	42	1.2	133	轻度污染	PM2.5
2014/7/3 13:00	102	145	145	17	32	1.1	134	轻度污染	PM2.5
