车ID,报警,空车,顶灯状态,高架,刹车,接收时间,GPS测定时间,经度,纬度,速度,方向
00002,0,1,1,0,0,2015-04-01 00:59:01,2015-04-01 00:58:55,121.428555,31.273560,0.0,109.0
00002,0,1,1,0,0,2015-04-01 00:59:51,2015-04-01 00:59:45,121.428548,31.273563,0.0,109.0
00002,0,1,1,0,0,2015-04-01 00:59:20,2015-04-01 00:59:15,121.428555,31.273560,0.0,109.0
00002,0,1,1,0,0,2015-04-01 00:59:40,2015-04-01 00:59:35,121.428555,31.273560,0.0,109.0
00002,0,1,1,0,0,2015-04-01 00:59:30,2015-04-01 00:59:25,121.428555,31.273560,0.0,109.0
00002,0,1,1,0,0,2015-04-01 00:59:11,2015-04-01 00:59:05,121.428555,31.273560,0.0,109.0
00004,0,1,1,0,0,2015-04-01 00:59:29,2015-04-01 00:59:24,121.396163,31.233547,0.0,350.0
00004,0,1,1,0,0,2015-04-01 00:59:09,2015-04-01 00:59:04,121.396163,31.233547,0.0,350.0
00004,0,1,1,0,0,2015-04-01 00:59:40,2015-04-01 00:59:34,121.396163,31.233547,0.0,350.0
00004,0,1,1,0,0,2015-04-01 00:59:50,2015-04-01 00:59:44,121.396163,31.233547,0.0,350.0
00004,0,1,1,0,0,2015-04-01 00:59:20,2015-04-01 00:59:14,121.396163,31.233547,0.0,350.0
00005,0,1,1,0,0,2015-04-01 00:59:32,2015-04-01 00:59:26,121.418282,31.195157,0.0,115.0
00005,0,1,1,0,0,2015-04-01 00:59:02,2015-04-01 00:58:56,121.418272,31.195148,0.0,92.0
00005,0,1,1,0,0,2015-04-01 00:59:22,2015-04-01 00:59:16,121.418263,31.195148,0.0,115.0
00005,0,1,1,0,0,2015-04-01 00:59:12,2015-04-01 00:59:06,121.418298,31.195140,0.0,115.0
00005,0,1,1,0,0,2015-04-01 00:59:42,2015-04-01 00:59:36,121.418263,31.195128,0.0,115.0
00005,0,1,1,0,0,2015-04-01 00:59:52,2015-04-01 00:59:46,121.418268,31.195110,0.0,115.0
00006,0,1,1,0,0,2015-04-01 00:59:46,2015-04-01 00:59:40,121.474875,31.135375,0.0,278.0
00006,0,1,1,0,0,2015-04-01 00:59:16,2015-04-01 00:59:10,121.474875,31.135377,0.0,278.0
00006,0,1,1,0,0,2015-04-01 00:59:56,2015-04-01 00:59:50,121.474875,31.135377,0.0,278.0
00006,0,1,1,0,0,2015-04-01 00:59:06,2015-04-01 00:59:00,121.474875,31.135380,0.0,278.0
00006,0,1,1,0,0,2015-04-01 00:59:36,2015-04-01 00:59:30,121.474873,31.135373,0.0,278.0
00006,0,1,1,0,0,2015-04-01 00:59:26,2015-04-01 00:59:20,121.474870,31.135373,0.0,278.0
00007,0,1,1,0,0,2015-04-01 00:59:05,2015-04-01 00:58:59,121.578837,31.264383,0.0,61.0
00007,0,1,1,0,0,2015-04-01 00:59:24,2015-04-01 00:59:19,121.578847,31.264377,0.0,61.0
00007,0,1,1,0,0,2015-04-01 00:59:35,2015-04-01 00:59:29,121.578847,31.264377,0.0,61.0
00007,0,1,1,0,0,2015-04-01 00:59:15,2015-04-01 00:59:09,121.578847,31.264377,0.0,61.0
00007,0,1,1,0,0,2015-04-01 00:59:55,2015-04-01 00:59:49,121.578847,31.264377,0.0,61.0
00007,0,1,1,0,0,2015-04-01 00:59:45,2015-04-01 00:59:39,121.578847,31.264377,0.0,61.0
00009,0,1,1,0,0,2015-04-01 00:59:55,2015-04-01 00:59:49,121.468880,31.043683,0.0,109.0
00009,0,1,1,0,0,2015-04-01 00:59:15,2015-04-01 00:59:09,121.468945,31.043667,0.0,109.0
00009,0,1,1,0,0,2015-04-01 00:59:05,2015-04-01 00:58:59,121.468953,31.043663,0.0,109.0
00009,0,1,1,0,0,2015-04-01 00:59:45,2015-04-01 00:59:39,121.468893,31.043680,0.0,109.0
00009,0,1,1,0,0,2015-04-01 00:59:25,2015-04-01 00:59:19,121.468933,31.043665,0.0,109.0
00009,0,1,1,0,0,2015-04-01 00:59:35,2015-04-01 00:59:29,121.468912,31.043673,0.0,109.0
00010,0,1,1,0,0,2015-04-01 00:59:56,2015-04-01 00:59:50,121.363030,31.303575,0.0,87.0
00010,0,1,1,0,0,2015-04-01 00:59:16,2015-04-01 00:59:10,121.363048,31.303550,0.0,87.0
00010,0,1,1,0,0,2015-04-01 00:59:46,2015-04-01 00:59:40,121.363033,31.303572,0.0,87.0
00010,0,1,1,0,0,2015-04-01 00:59:36,2015-04-01 00:59:30,121.363037,31.303567,0.0,87.0
00010,0,1,1,0,0,2015-04-01 00:59:26,2015-04-01 00:59:20,121.363043,31.303558,0.0,87.0
00010,0,1,1,0,0,2015-04-01 00:59:06,2015-04-01 00:59:00,121.363053,31.303540,0.0,87.0
00011,0,0,0,0,0,2015-04-01 00:59:12,2015-04-01 00:59:07,121.392913,31.304082,0.0,15.0
00011,0,0,0,0,0,2015-04-01 00:59:42,2015-04-01 00:59:37,121.392913,31.304082,0.0,15.0
00011,0,0,0,0,0,2015-04-01 00:59:52,2015-04-01 00:59:47,121.392913,31.304082,0.0,15.0
00011,0,0,0,0,0,2015-04-01 00:59:03,2015-04-01 00:58:57,121.392913,31.304082,0.0,15.0
00011,0,0,0,0,0,2015-04-01 00:59:32,2015-04-01 00:59:27,121.392913,31.304082,0.0,15.0
00011,0,0,0,0,0,2015-04-01 00:59:23,2015-04-01 00:59:17,121.392913,31.304082,0.0,15.0
00012,0,0,0,0,0,2015-04-01 00:59:27,2015-04-01 00:59:21,121.563725,31.193713,0.0,326.0
00012,0,0,0,0,0,2015-04-01 00:59:17,2015-04-01 00:59:11,121.563723,31.193717,0.0,326.0
00012,0,0,0,0,0,2015-04-01 00:59:37,2015-04-01 00:59:31,121.563728,31.193712,0.0,326.0
00012,0,0,0,0,0,2015-04-01 00:59:47,2015-04-01 00:59:41,121.563730,31.193708,0.0,326.0
00012,0,0,0,0,0,2015-04-01 00:59:57,2015-04-01 00:59:51,121.563732,31.193707,0.0,326.0
00012,0,0,0,0,0,2015-04-01 00:59:07,2015-04-01 00:59:01,121.563723,31.193718,0.0,326.0
00013,0,1,1,0,0,2015-04-01 00:59:05,2015-04-01 00:59:00,121.375253,31.324373,0.0,127.0
00013,0,1,1,0,0,2015-04-01 00:59:16,2015-04-01 00:59:10,121.375253,31.324373,0.0,127.0
00013,0,1,1,0,0,2015-04-01 00:59:46,2015-04-01 00:59:40,121.375240,31.324382,0.0,127.0
00013,0,1,1,0,0,2015-04-01 00:59:36,2015-04-01 00:59:30,121.375240,31.324382,0.0,127.0
00013,0,1,1,0,0,2015-04-01 00:59:56,2015-04-01 00:59:50,121.375240,31.324382,0.0,127.0
00013,0,1,1,0,0,2015-04-01 00:59:26,2015-04-01 00:59:20,121.375240,31.324382,0.0,127.0
00015,0,1,1,0,0,2015-04-01 00:59:15,2015-04-01 00:59:09,121.303972,31.247897,0.0,62.0
00015,0,1,1,0,0,2015-04-01 00:59:25,2015-04-01 00:59:19,121.303972,31.247897,0.0,62.0
00015,0,1,1,0,0,2015-04-01 00:59:35,2015-04-01 00:59:29,121.303972,31.247897,0.0,62.0
00015,0,1,1,0,0,2015-04-01 00:59:55,2015-04-01 00:59:49,121.303972,31.247897,0.0,62.0
00015,0,1,1,0,0,2015-04-01 00:59:45,2015-04-01 00:59:39,121.303972,31.247897,0.0,62.0
00015,0,1,1,0,0,2015-04-01 00:59:05,2015-04-01 00:58:59,121.303972,31.247897,0.0,62.0
00017,0,1,1,0,0,2015-04-01 00:59:54,2015-04-01 00:59:49,121.473470,31.253247,0.0,268.0
00017,0,1,1,0,0,2015-04-01 00:59:15,2015-04-01 00:59:09,121.473465,31.253255,0.0,268.0
00017,0,1,1,0,0,2015-04-01 00:59:25,2015-04-01 00:59:19,121.473465,31.253255,0.0,268.0
00017,0,1,1,0,0,2015-04-01 00:59:44,2015-04-01 00:59:39,121.473470,31.253247,0.0,268.0
00017,0,1,1,0,0,2015-04-01 00:59:35,2015-04-01 00:59:29,121.473465,31.253255,0.0,268.0
00017,0,1,1,0,0,2015-04-01 00:59:05,2015-04-01 00:58:59,121.473465,31.253255,0.0,268.0
00018,0,0,0,0,0,2015-04-01 00:59:19,2015-04-01 00:59:13,121.361717,31.303680,0.0,66.0
00018,0,0,0,0,0,2015-04-01 00:59:48,2015-04-01 00:59:43,121.361710,31.303673,0.0,66.0
00018,0,0,0,0,0,2015-04-01 00:59:29,2015-04-01 00:59:23,121.361717,31.303680,0.0,66.0
00018,0,0,0,0,0,2015-04-01 00:59:59,2015-04-01 00:59:53,121.361710,31.303673,0.0,66.0
00018,0,0,0,0,0,2015-04-01 00:59:39,2015-04-01 00:59:33,121.361710,31.303673,0.0,66.0
00018,0,0,0,0,0,2015-04-01 00:59:08,2015-04-01 00:59:03,121.361717,31.303680,0.0,66.0
00021,0,1,1,0,0,2015-04-01 00:59:44,2015-04-01 00:59:38,121.324520,31.265770,0.0,7.0
00021,0,1,1,0,0,2015-04-01 00:59:14,2015-04-01 00:59:08,121.324522,31.265772,0.0,7.0
00021,0,1,1,0,0,2015-04-01 00:59:03,2015-04-01 00:58:58,121.324518,31.265768,0.0,7.0
00021,0,1,1,0,0,2015-04-01 00:59:54,2015-04-01 00:59:48,121.324515,31.265768,0.0,7.0
00021,0,1,1,0,0,2015-04-01 00:59:34,2015-04-01 00:59:28,121.324523,31.265772,0.0,7.0
00021,0,1,1,0,0,2015-04-01 00:59:24,2015-04-01 00:59:18,121.324523,31.265772,0.0,7.0
00022,0,1,1,0,0,2015-04-01 00:59:21,2015-04-01 00:59:15,121.380682,31.277430,0.0,340.0
00022,0,1,1,0,0,2015-04-01 00:59:40,2015-04-01 00:59:35,121.380682,31.277430,0.0,340.0
00022,0,1,1,0,0,2015-04-01 00:59:10,2015-04-01 00:59:05,121.380682,31.277430,0.0,340.0
00022,0,1,1,0,0,2015-04-01 00:59:01,2015-04-01 00:58:55,121.380682,31.277430,0.0,340.0
00022,0,1,1,0,0,2015-04-01 00:59:50,2015-04-01 00:59:45,121.380682,31.277430,0.0,340.0
00022,0,1,1,0,0,2015-04-01 00:59:30,2015-04-01 00:59:25,121.380682,31.277430,0.0,340.0
00023,0,1,1,0,0,2015-04-01 00:59:12,2015-04-01 00:59:07,121.399848,31.026597,0.0,70.0
00023,0,1,1,0,0,2015-04-01 00:59:53,2015-04-01 00:59:47,121.399845,31.026593,0.0,70.0
00023,0,1,1,0,0,2015-04-01 00:59:42,2015-04-01 00:59:37,121.399845,31.026593,0.0,70.0
00023,0,1,1,0,0,2015-04-01 00:59:22,2015-04-01 00:59:17,121.399845,31.026593,0.0,70.0
00023,0,1,1,0,0,2015-04-01 00:59:02,2015-04-01 00:58:57,121.399848,31.026597,0.0,70.0
00023,0,1,1,0,0,2015-04-01 00:59:32,2015-04-01 00:59:27,121.399845,31.026593,0.0,70.0
00024,0,1,1,0,0,2015-04-01 00:59:43,2015-04-01 00:59:37,121.440547,31.235730,0.0,87.0
00024,0,1,1,0,0,2015-04-01 00:59:53,2015-04-01 00:59:47,121.440547,31.235730,0.0,87.0
00024,0,1,1,0,0,2015-04-01 00:59:33,2015-04-01 00:59:27,121.440547,31.235730,0.0,87.0
00024,0,1,1,0,0,2015-04-01 00:59:13,2015-04-01 00:59:07,121.440547,31.235730,0.0,87.0
00024,0,1,1,0,0,2015-04-01 00:59:23,2015-04-01 00:59:17,121.440547,31.235730,0.0,87.0
00024,0,1,1,0,0,2015-04-01 00:59:03,2015-04-01 00:58:57,121.440547,31.235725,0.0,87.0
00025,0,1,1,0,0,2015-04-01 00:59:31,2015-04-01 00:59:25,121.506425,31.269293,0.0,320.0
00025,0,1,1,0,0,2015-04-01 00:59:21,2015-04-01 00:59:15,121.506425,31.269293,0.0,320.0
00025,0,1,1,0,0,2015-04-01 00:59:11,2015-04-01 00:59:05,121.506425,31.269293,0.0,320.0
00025,0,1,1,0,0,2015-04-01 00:59:51,2015-04-01 00:59:45,121.506422,31.269295,0.0,320.0
00025,0,1,1,0,0,2015-04-01 00:59:40,2015-04-01 00:59:35,121.506425,31.269293,0.0,320.0
00026,0,1,1,0,0,2015-04-01 00:59:19,2015-04-01 00:59:13,121.337277,31.230662,0.0,138.0
00026,0,1,1,0,0,2015-04-01 00:59:29,2015-04-01 00:59:23,121.337277,31.230662,0.0,138.0
00026,0,1,1,0,0,2015-04-01 00:59:49,2015-04-01 00:59:43,121.337275,31.230662,0.0,138.0
00026,0,1,1,0,0,2015-04-01 00:59:39,2015-04-01 00:59:33,121.337275,31.230662,0.0,138.0
00026,0,1,1,0,0,2015-04-01 00:59:09,2015-04-01 00:59:03,121.337277,31.230662,0.0,138.0
00026,0,1,1,0,0,2015-04-01 00:59:58,2015-04-01 00:59:53,121.337275,31.230662,0.0,138.0
00027,0,1,1,0,0,2015-04-01 00:59:17,2015-04-01 00:59:11,121.323743,31.360713,0.0,52.0
00027,0,1,1,0,0,2015-04-01 00:59:37,2015-04-01 00:59:31,121.323733,31.360693,0.0,52.0
00027,0,1,1,0,0,2015-04-01 00:59:47,2015-04-01 00:59:41,121.323730,31.360687,0.0,52.0
00027,0,1,1,0,0,2015-04-01 00:59:07,2015-04-01 00:59:01,121.323750,31.360717,0.0,52.0
00027,0,1,1,0,0,2015-04-01 00:59:57,2015-04-01 00:59:51,121.323728,31.360682,0.0,52.0
00027,0,1,1,0,0,2015-04-01 00:59:27,2015-04-01 00:59:21,121.323738,31.360703,0.0,52.0
00028,0,1,1,0,0,2015-04-01 00:59:03,2015-04-01 00:58:57,121.474550,31.313097,0.0,84.0
00028,0,1,1,0,0,2015-04-01 00:59:32,2015-04-01 00:59:27,121.474550,31.313097,0.0,84.0
00028,0,1,1,0,0,2015-04-01 00:59:23,2015-04-01 00:59:17,121.474550,31.313097,0.0,84.0
00028,0,1,1,0,0,2015-04-01 00:59:53,2015-04-01 00:59:47,121.474542,31.313108,0.0,84.0
00028,0,1,1,0,0,2015-04-01 00:59:13,2015-04-01 00:59:07,121.474550,31.313097,0.0,84.0
00028,0,1,1,0,0,2015-04-01 00:59:43,2015-04-01 00:59:37,121.474550,31.313097,0.0,84.0
00029,0,1,1,0,0,2015-04-01 00:59:35,2015-04-01 00:59:29,121.552422,31.313637,0.0,56.0
00029,0,1,1,0,0,2015-04-01 00:59:15,2015-04-01 00:59:09,121.552422,31.313637,0.0,56.0
00029,0,1,1,0,0,2015-04-01 00:59:45,2015-04-01 00:59:39,121.552422,31.313637,0.0,56.0
00029,0,1,1,0,0,2015-04-01 00:59:24,2015-04-01 00:59:19,121.552422,31.313637,0.0,56.0
00029,0,1,1,0,0,2015-04-01 00:59:05,2015-04-01 00:58:59,121.552422,31.313637,0.0,56.0
00029,0,1,1,0,0,2015-04-01 00:59:54,2015-04-01 00:59:49,121.552420,31.313637,0.0,56.0
00031,0,1,1,0,0,2015-04-01 00:59:45,2015-04-01 00:59:39,121.429008,31.180358,0.0,227.0
00031,0,1,1,0,0,2015-04-01 00:59:35,2015-04-01 00:59:29,121.429007,31.180358,0.0,227.0
00031,0,1,1,0,0,2015-04-01 00:59:05,2015-04-01 00:58:59,121.429003,31.180357,0.0,227.0
00031,0,1,1,0,0,2015-04-01 00:59:25,2015-04-01 00:59:19,121.429005,31.180358,0.0,227.0
00031,0,1,1,0,0,2015-04-01 00:59:55,2015-04-01 00:59:49,121.429010,31.180358,0.0,227.0
00031,0,1,1,0,0,2015-04-01 00:59:15,2015-04-01 00:59:09,121.429003,31.180358,0.0,227.0
00032,0,1,1,0,0,2015-04-01 00:59:21,2015-04-01 00:59:16,121.485448,31.274317,0.0,88.0
00032,0,1,1,0,0,2015-04-01 00:59:52,2015-04-01 00:59:46,121.486520,31.274452,0.0,355.0
00032,0,1,1,0,0,2015-04-01 00:59:02,2015-04-01 00:58:56,121.485437,31.274292,0.0,88.0
00032,0,1,V,0,0,2015-04-01 00:59:31,2015-04-01 00:59:25,121.485515,31.274318,0.0,88.0
00032,0,1,1,0,0,2015-04-01 00:59:42,2015-04-01 00:59:36,121.485338,31.274328,0.0,88.0
00032,0,1,1,0,0,2015-04-01 00:59:11,2015-04-01 00:59:06,121.485440,31.274297,0.0,88.0
00033,0,1,1,0,0,2015-04-01 00:59:55,2015-04-01 00:59:50,121.348083,31.281283,0.0,67.0
00033,0,1,1,0,0,2015-04-01 00:59:46,2015-04-01 00:59:40,121.348090,31.281282,0.0,67.0
00033,0,1,1,0,0,2015-04-01 00:59:26,2015-04-01 00:59:20,121.348090,31.281282,0.0,67.0
00033,0,1,1,0,0,2015-04-01 00:59:06,2015-04-01 00:59:00,121.348090,31.281282,0.0,67.0
00033,0,1,1,0,0,2015-04-01 00:59:35,2015-04-01 00:59:30,121.348090,31.281282,0.0,67.0
00033,0,1,1,0,0,2015-04-01 00:59:15,2015-04-01 00:59:10,121.348090,31.281282,0.0,67.0
00034,0,1,1,0,0,2015-04-01 00:59:14,2015-04-01 00:59:08,121.337757,31.230960,0.0,251.0
00034,0,1,1,0,0,2015-04-01 00:59:34,2015-04-01 00:59:28,121.337757,31.230960,0.0,251.0
00034,0,1,1,0,0,2015-04-01 00:59:54,2015-04-01 00:59:48,121.337757,31.230960,0.0,251.0
00034,0,1,1,0,0,2015-04-01 00:59:44,2015-04-01 00:59:38,121.337757,31.230960,0.0,251.0
00034,0,1,1,0,0,2015-04-01 00:59:24,2015-04-01 00:59:18,121.337757,31.230960,0.0,251.0
00034,0,1,1,0,0,2015-04-01 00:59:04,2015-04-01 00:58:58,121.337757,31.230960,0.0,251.0
00035,0,1,1,0,0,2015-04-01 00:59:54,2015-04-01 00:59:48,121.401065,31.097978,0.0,166.0
00035,0,1,1,0,0,2015-04-01 00:59:44,2015-04-01 00:59:38,121.401065,31.097978,0.0,166.0
00035,0,1,1,0,0,2015-04-01 00:59:43,2015-04-01 00:58:18,121.401065,31.097972,0.0,166.0
00035,0,1,1,0,0,2015-04-01 00:59:43,2015-04-01 00:58:08,121.401065,31.097972,0.0,166.0
