"区域编号","时间","指数","分数","速度"
"01NHNLB_YX","2014-08-08 10:40:00","59.10","1.00","33.50"
"01WHWWZ_HX","2014-08-08 10:40:00","22.32","0.92","61.84"
"01YABYD_HQ","2014-08-08 10:40:00","57.09","1.00","31.15"
"01ZHWXX_JY","2014-08-08 10:40:00","34.75","1.00","53.00"
"01HMDXZ_CX","2014-08-08 10:40:00","49.36","1.00","39.28"
"01NBXGH_LB","2014-08-08 10:40:00","62.57","1.00","30.12"
"01WHNHJ_TJ","2014-08-08 10:40:00","30.57","0.84","53.42"
"01WHNJY_HY","2014-08-08 10:40:00","53.51","0.94","39.44"
"01WHWHY_JY","2014-08-08 10:40:00","45.34","1.00","44.31"
"01WHWWZ_TJ","2014-08-08 10:40:00","55.36","1.00","37.37"
"01WZBWZ_XY","2014-08-08 10:40:00","19.37","0.91","64.36"
"01ZHWJG_GH","2014-08-08 10:40:00","20.60","0.99","63.22"
"01NBXYC_GH","2014-08-08 10:40:00","48.46","1.00","42.27"
"01NHWGH_YX","2014-08-08 10:40:00","52.71","1.00","36.99"
"01WHNHX_JY","2014-08-08 10:40:00","20.81","0.48","62.32"
"01YXXWH_DB","2014-08-08 10:40:00","24.81","1.00","55.95"
"01ZHNJY_XX","2014-08-08 10:40:00","40.71","1.00","44.93"
"01ZHWJY_SJ","2014-08-08 10:40:00","7.05","0.95","74.13"
"total","2014-08-08 10:40:00","37.37","0.97","49.65"
"01HMXCX_XZ","2014-08-08 10:40:00","39.45","1.00","49.63"
"01NBDJY_LB","2014-08-08 10:40:00","63.16","1.00","33.31"
"01NBXLB_JY","2014-08-08 10:40:00","32.20","1.00","51.89"
"01NHWYP_GH","2014-08-08 10:40:00","40.00","1.00","44.17"
"01WHNTJ_WZ","2014-08-08 10:40:00","46.36","1.00","42.78"
"01WHWTJ_HJ","2014-08-08 10:40:00","34.09","0.88","48.57"
"01WZNXY_WZ","2014-08-08 10:40:00","16.34","1.00","70.15"
"01ZHNGH_JG","2014-08-08 10:40:00","23.93","0.92","61.58"
"01ZHNSJ_JY","2014-08-08 10:40:00","9.67","1.00","71.76"
"01WHNHY_HJ","2014-08-08 10:40:00","39.02","0.96","48.70"
"01WHWHJ_HY","2014-08-08 10:40:00","55.48","1.00","34.51"
"01WHWJY_HX","2014-08-08 10:40:00","16.53","0.86","64.87"
"01YANHQ_YD","2014-08-08 10:40:00","61.76","1.00","33.64"
"01ZHWGH_XX","2014-08-08 10:40:00","37.34","1.00","52.82"
"01NBDLB_GH","2014-08-08 10:40:00","54.42","1.00","33.91"
"01NHWYX_LB","2014-08-08 10:40:00","68.47","1.00","25.93"
"01NBDGH_YC","2014-08-15 17:40:00","20.91","0.99","61.62"
"01NHNYX_GH","2014-08-15 17:40:00","42.53","1.00","41.79"
"01NHWLB_YP","2014-08-15 17:40:00","22.66","1.00","62.40"
"01WHNHX_WZ","2014-08-15 17:40:00","35.58","0.99","51.05"
"01NHNGH_YP","2014-08-15 17:40:00","25.75","1.00","58.74"
"01NHNYP_LB","2014-08-15 17:40:00","22.56","1.00","60.28"
"01YXDDB_WH","2014-08-15 17:40:00","17.54","0.99","62.78"
"01ZHNXX_GH","2014-08-15 17:40:00","17.62","1.00","65.47"
"01NHNLB_YX","2014-08-15 17:40:00","49.91","1.00","39.71"
"01WHWWZ_HX","2014-08-15 17:40:00","22.47","0.90","61.97"
"01YABYD_HQ","2014-08-15 17:40:00","72.25","1.00","20.56"
"01ZHWXX_JY","2014-08-15 17:40:00","19.18","1.00","64.49"
"01HMDXZ_CX","2014-08-15 17:40:00","33.52","1.00","48.62"
"01NBXGH_LB","2014-08-15 17:40:00","59.41","1.00","31.66"
"01WHNHJ_TJ","2014-08-15 17:40:00","24.25","0.86","58.41"
"01WHNJY_HY","2014-08-15 17:40:00","49.89","0.97","39.68"
"01WHWHY_JY","2014-08-15 17:40:00","51.09","0.99","40.48"
"01WHWWZ_TJ","2014-08-15 17:40:00","45.37","1.00","47.76"
"01WZBWZ_XY","2014-08-15 17:40:00","28.44","0.93","56.17"
"01ZHWJG_GH","2014-08-15 17:40:00","17.72","0.93","64.83"
"01NBXYC_GH","2014-08-15 17:40:00","29.08","0.93","51.35"
"01NHWGH_YX","2014-08-15 17:40:00","27.73","1.00","55.48"
"01WHNHX_JY","2014-08-15 17:40:00","24.25","0.70","57.46"
"01YXXWH_DB","2014-08-15 17:40:00","32.54","1.00","51.32"
"01ZHNJY_XX","2014-08-15 17:40:00","28.11","1.00","57.41"
"01ZHWJY_SJ","2014-08-15 17:40:00","2.61","0.95","79.55"
"total","2014-08-15 17:40:00","30.71","0.97","54.52"
"01HMXCX_XZ","2014-08-15 17:40:00","27.52","1.00","56.19"
"01NBDJY_LB","2014-08-15 17:40:00","30.03","1.00","55.76"
"01NBXLB_JY","2014-08-15 17:40:00","26.72","0.99","56.69"
"01NHWYP_GH","2014-08-15 17:40:00","32.83","1.00","49.06"
"01WHNTJ_WZ","2014-08-15 17:40:00","35.98","1.00","50.60"
"01WHWTJ_HJ","2014-08-15 17:40:00","28.32","0.87","56.14"
"01WZNXY_WZ","2014-08-15 17:40:00","10.17","0.99","74.38"
"01ZHNGH_JG","2014-08-15 17:40:00","16.22","0.92","67.32"
"01ZHNSJ_JY","2014-08-15 17:40:00","6.42","0.99","74.77"
"01WHNHY_HJ","2014-08-15 17:40:00","41.58","0.99","46.44"
"01WHWHJ_HY","2014-08-15 17:40:00","60.03","0.91","32.40"
"01WHWJY_HX","2014-08-15 17:40:00","13.85","0.85","66.55"
"01YANHQ_YD","2014-08-15 17:40:00","31.59","1.00","53.67"
"01ZHWGH_XX","2014-08-15 17:40:00","13.96","1.00","68.39"
"01NBDLB_GH","2014-08-15 17:40:00","43.47","1.00","46.75"
"01NHWYX_LB","2014-08-15 17:40:00","48.19","1.00","43.65"
"01NBDGH_YC","2014-08-24 2:50:00","10.71","0.99","71.55"
