"区域名","区域编号","时间","指数"
"漕河泾","20XW_CHJ000","2014-08-26 17:40:00","40.38"
"共和新村","20XW_GHXC00","2014-08-26 17:40:00","42.79"
"江湾体育场","20XW_JWTYC0","2014-08-26 17:40:00","27.80"
"江湾镇","20XW_JWZC00","2014-08-26 17:40:00","42.38"
"龙柏","20XW_LB0000","2014-08-26 17:40:00","49.24"
"梅陇","20XW_ML0000","2014-08-26 17:40:00","44.37"
"祁连山路","20XW_QLSL00","2014-08-26 17:40:00","40.84"
"上海大学","20XW_SHDX00","2014-08-26 17:40:00","37.65"
"淞南","20XW_SN0000","2014-08-26 17:40:00","40.35"
"新江湾城","20XW_XJWC00","2014-08-26 17:40:00","16.42"
"殷行","20XW_YH0000","2014-08-26 17:40:00","32.70"
"张庙","20XW_ZM0000","2014-08-26 17:40:00","34.80"
"曹杨新村","20XZ_CY0000","2014-08-26 17:40:00","49.43"
"大场","20XZ_DC0000","2014-08-26 17:40:00","46.96"
"大宁","20XZ_DN0000","2014-08-26 17:40:00","34.51"
"古北","20XZ_GB0000","2014-08-26 17:40:00","48.94"
"华东理工","20XZ_HDLG00","2014-08-26 17:40:00","40.23"
"虹桥开发区","20XZ_HQKFQ0","2014-08-26 17:40:00","47.12"
"沪太","20XZ_HT0000","2014-08-26 17:40:00","45.77"
"龙华","20XZ_LH0000","2014-08-26 17:40:00","37.65"
"上海南站","20XZ_SHNZ00","2014-08-26 17:40:00","44.33"
"上海师大","20XZ_SHSD00","2014-08-26 17:40:00","45.14"
"上海西站","20XZ_SHXZ00","2014-08-26 17:40:00","46.76"
"田林","20XZ_TL0000","2014-08-26 17:40:00","52.27"
"五角场","20XZ_WJC000","2014-08-26 17:40:00","43.34"
"新华医院","20XZ_XHYY00","2014-08-26 17:40:00","46.73"
"延吉新村","20XZ_YJXC00","2014-08-26 17:40:00","37.96"
"杨树浦","20XZ_YSP000","2014-08-26 17:40:00","41.85"
"闸北公园","20XZ_ZBGY00","2014-08-26 17:40:00","52.08"
"total","total","2014-08-26 17:40:00","42.41"
"花木","20DN_HM0000","2014-08-26 23:20:00","27.98"
"陆家嘴","20DN_LJZ000","2014-08-26 23:20:00","32.29"
"南码头","20DN_NMT000","2014-08-26 23:20:00","37.73"
"源深体育中心","20DN_YSTYZX","2014-08-26 23:20:00","35.84"
"金桥","20DW_JQ0000","2014-08-26 23:20:00","30.22"
"金杨","20DW_JY0000","2014-08-26 23:20:00","32.80"
"外高桥","20DW_WGQ000","2014-08-26 23:20:00","30.61"
"北蔡","20DZ_BC0000","2014-08-26 23:20:00","24.83"
"上钢新村","20DZ_SGXC00","2014-08-26 23:20:00","33.36"
"三林","20DZ_SL0000","2014-08-26 23:20:00","34.65"
"张江","20DZ_ZJ0000","2014-08-26 23:20:00","12.80"
"周家渡","20DZ_ZJD000","2014-08-26 23:20:00","34.50"
"城隍庙","20XN_CHM000","2014-08-26 23:20:00","18.75"
"曹家渡","20XN_CJD000","2014-08-26 23:20:00","20.07"
"大柏树","20XN_DBS000","2014-08-26 23:20:00","20.42"
"第九人民医院","20XN_DJRMYY","2014-08-26 23:20:00","22.50"
"打浦桥","20XN_DPQ000","2014-08-26 23:20:00","20.65"
"虹口足球场","20XN_HKZQC0","2014-08-26 23:20:00","24.69"
"静安寺","20XN_JAS000","2014-08-26 23:20:00","23.90"
"老北站","20XN_LBZ000","2014-08-26 23:20:00","19.86"
"梅陇镇","20XN_MLZ000","2014-08-26 23:20:00","26.87"
"南京路商圈","20XN_NJLSQ0","2014-08-26 23:20:00","20.20"
"瑞虹新城","20XN_RHXC00","2014-08-26 23:20:00","20.51"
"瑞金医院","20XN_RJYY00","2014-08-26 23:20:00","22.08"
"人民广场","20XN_RMGC00","2014-08-26 23:20:00","26.43"
"四川北路商圈","20XN_SCBLSQ","2014-08-26 23:20:00","25.56"
"上海火车站","20XN_SHHCZ0","2014-08-26 23:20:00","30.29"
"上海卷烟厂","20XN_SHJYC0","2014-08-26 23:20:00","21.60"
"上海影城","20XN_SHYC00","2014-08-26 23:20:00","24.22"
"十六铺","20XN_SLP000","2014-08-26 23:20:00","31.84"
"同济大学","20XN_TJDX00","2014-08-26 23:20:00","19.75"
"提蓝桥","20XN_TLQ000","2014-08-26 23:20:00","19.80"
"五官科医院","20XN_WGKYY0","2014-08-26 23:20:00","24.44"
"徐家汇","20XN_XJH00","2014-08-26 23:20:00","20.95"
"新天地","20XN_XTD000","2014-08-26 23:20:00","24.03"
"中山公园","20XN_ZSGY00","2014-08-26 23:20:00","26.19"
"大木桥","20XN_ZSYY00","2014-08-26 23:20:00","16.59"
"中远两湾城","20XN_ZYLWC0","2014-08-26 23:20:00","26.42"
"北新泾","20XW_BXJ000","2014-08-26 23:20:00","23.30"
"漕河泾","20XW_CHJ000","2014-08-26 23:20:00","22.94"
"共和新村","20XW_GHXC00","2014-08-26 23:20:00","25.24"
"江湾体育场","20XW_JWTYC0","2014-08-26 23:20:00","18.30"
"江湾镇","20XW_JWZC00","2014-08-26 23:20:00","22.31"
"龙柏","20XW_LB0000","2014-08-26 23:20:00","31.40"
"梅陇","20XW_ML0000","2014-08-26 23:20:00","20.13"
"祁连山路","20XW_QLSL00","2014-08-26 23:20:00","18.84"
"上海大学","20XW_SHDX00","2014-08-26 23:20:00","38.42"
"淞南","20XW_SN0000","2014-08-26 23:20:00","25.54"
"新江湾城","20XW_XJWC00","2014-08-26 23:20:00","10.30"
"殷行","20XW_YH0000","2014-08-26 23:20:00","15.97"
"花木","20DN_HM0000","2014-08-13 0:40:00","19.61"
"陆家嘴","20DN_LJZ000","2014-08-13 0:40:00","17.45"
"南码头","20DN_NMT000","2014-08-13 0:40:00","20.68"
"源深体育中心","20DN_YSTYZX","2014-08-13 0:40:00","19.73"
"金桥","20DW_JQ0000","2014-08-13 0:40:00","16.78"
"金杨","20DW_JY0000","2014-08-13 0:40:00","17.53"
"张庙","20XW_ZM0000","2014-08-26 23:20:00","10.35"
"曹杨新村","20XZ_CY0000","2014-08-26 23:20:00","24.18"
"大场","20XZ_DC0000","2014-08-26 23:20:00","24.60"
"华东理工","20XZ_HDLG00","2014-08-27 1:40:00","33.24"
"虹桥开发区","20XZ_HQKFQ0","2014-08-27 1:40:00","21.89"
"沪太","20XZ_HT0000","2014-08-27 1:40:00","29.55"
"龙华","20XZ_LH0000","2014-08-27 1:40:00","26.76"
"上海南站","20XZ_SHNZ00","2014-08-27 1:40:00","31.95"
"上海师大","20XZ_SHSD00","2014-08-27 1:40:00","29.43"
"上海西站","20XZ_SHXZ00","2014-08-27 1:40:00","29.48"
"田林","20XZ_TL0000","2014-08-27 1:40:00","31.14"
"五角场","20XZ_WJC000","2014-08-27 1:40:00","27.46"
"新华医院","20XZ_XHYY00","2014-08-27 1:40:00","28.24"
"延吉新村","20XZ_YJXC00","2014-08-27 1:40:00","29.95"
"杨树浦","20XZ_YSP000","2014-08-27 1:40:00","40.47"
"闸北公园","20XZ_ZBGY00","2014-08-27 1:40:00","29.59"
"total","total","2014-08-27 1:40:00","28.60"
"大宁","20XZ_DN0000","2014-08-22 21:50:00","20.13"
"古北","20XZ_GB0000","2014-08-22 21:50:00","31.04"
"华东理工","20XZ_HDLG00","2014-08-22 21:50:00","26.58"
"虹桥开发区","20XZ_HQKFQ0","2014-08-22 21:50:00","31.90"
"沪太","20XZ_HT0000","2014-08-22 21:50:00","32.80"
"龙华","20XZ_LH0000","2014-08-22 21:50:00","24.61"
"上海南站","20XZ_SHNZ00","2014-08-22 21:50:00","24.01"
"上海师大","20XZ_SHSD00","2014-08-22 21:50:00","24.58"
"上海西站","20XZ_SHXZ00","2014-08-22 21:50:00","32.75"
"田林","20XZ_TL0000","2014-08-22 21:50:00","29.74"
"五角场","20XZ_WJC000","2014-08-22 21:50:00","28.43"
"新华医院","20XZ_XHYY00","2014-08-22 21:50:00","26.94"
"延吉新村","20XZ_YJXC00","2014-08-22 21:50:00","23.53"
"杨树浦","20XZ_YSP000","2014-08-22 21:50:00","32.11"
"闸北公园","20XZ_ZBGY00","2014-08-22 21:50:00","31.94"
"total","total","2014-08-22 21:50:00","29.12"
"外高桥","20DW_WGQ000","2014-08-13 0:40:00","19.27"
"北蔡","20DZ_BC0000","2014-08-13 0:40:00","23.90"
"上钢新村","20DZ_SGXC00","2014-08-13 0:40:00","24.38"
"三林","20DZ_SL0000","2014-08-13 0:40:00","24.97"
"张江","20DZ_ZJ0000","2014-08-13 0:40:00","16.01"
"周家渡","20DZ_ZJD000","2014-08-13 0:40:00","22.13"
"城隍庙","20XN_CHM000","2014-08-13 0:40:00","19.86"
"曹家渡","20XN_CJD000","2014-08-13 0:40:00","28.16"
"大柏树","20XN_DBS000","2014-08-13 0:40:00","27.84"
"第九人民医院","20XN_DJRMYY","2014-08-13 0:40:00","26.74"
"打浦桥","20XN_DPQ000","2014-08-13 0:40:00","22.45"
"虹口足球场","20XN_HKZQC0","2014-08-13 0:40:00","26.66"
"静安寺","20XN_JAS000","2014-08-13 0:40:00","32.23"
"老北站","20XN_LBZ000","2014-08-13 0:40:00","22.15"
"梅陇镇","20XN_MLZ000","2014-08-13 0:40:00","35.03"
"南京路商圈","20XN_NJLSQ0","2014-08-13 0:40:00","23.19"
"瑞虹新城","20XN_RHXC00","2014-08-13 0:40:00","29.13"
"瑞金医院","20XN_RJYY00","2014-08-13 0:40:00","28.38"
"人民广场","20XN_RMGC00","2014-08-13 0:40:00","31.93"
"四川北路商圈","20XN_SCBLSQ","2014-08-13 0:40:00","29.72"
"上海火车站","20XN_SHHCZ0","2014-08-13 0:40:00","27.00"
"上海卷烟厂","20XN_SHJYC0","2014-08-13 0:40:00","26.50"
"上海影城","20XN_SHYC00","2014-08-13 0:40:00","27.72"
"十六铺","20XN_SLP000","2014-08-13 0:40:00","20.83"
"同济大学","20XN_TJDX00","2014-08-13 0:40:00","24.94"
"提蓝桥","20XN_TLQ000","2014-08-13 0:40:00","25.30"
