ID,转发数,评论数,发表时间,性别,粉丝数,状态数,正文
100001,2,0,20150119 21:13:21,m,1889,38143,100就够[悲伤]//@藤嶋拓也:500 //@乌酱_减肥急行军:200以上 必须带卡//@鞭鞭于白水: 带多少钱不重要，卡里有钱最重要…//@日本零距离: 100//@重口味女青年: 在上海最少一百，还不敢打车
100002,0,5,20150227 13:19:36,m,303,2048,距离上次上海下雪❄️似乎已经是很久很久以前的事情了……[馋嘴][馋嘴][馋嘴]
100002,0,2,20150405 18:47:40,m,303,2048,再一次在暴雨中历经4小时，带着全家老少安全返回上海[馋嘴][馋嘴][馋嘴]
100002,0,0,20141229 20:00:06,m,303,2048,528路、沪B70947你丫真丢上海公交系统的脸，硬生生的把其他车挤的无路可走[鄙视][鄙视][鄙视]@上海机动车交通违章曝光台 @上海发布 @警民直通车-上海 @交通安全网
100003,0,0,20150226 12:36:55,m,260,3618,上海拥堵区域将施行外牌限行  http://t.cn/Rw0MHaC
100004,0,0,20140915 20:51:45,f,60,927,上海, 09/15 20:07发布: 今天,多云, 23°~28°,东北风3-4级 (来自微博HD天气插件 @天气通 免费下载地址 http://t.cn/zj9HadD ) http://t.cn/Rh6cwaI
100005,0,0,20140717 19:50:46,f,198,3029,上海地铁骚扰男被解聘，此男扇空姐嘴巴是不是更应该双开？ //@石讷shine:权力人格化，就是一个孬种。
100006,0,0,20150227 13:27:18,f,20,55,今天上海松江下冰雹了
100007,0,0,20140715 07:26:28,m,54,384,上海瓢泼大雨！虽然出行不方便但是天气很凉爽！ http://t.cn/RPhXXD0
100008,0,0,20150113 09:28:20,m,126,32016,分享网易新闻:「上海交警约见"滴滴"被放鸽子」 http://t.cn/RZaFPA6
100008,0,0,20140708 16:06:03,m,126,32016,我在上海轨道交通龙阳路实训基地 http://t.cn/Rve00kw
100008,0,0,20140822 17:07:35,m,126,32016,我在上海轨道交通龙阳路基地 http://t.cn/RP32eJL
100008,0,0,20140813 17:02:46,m,126,32016,我在上海轨道交通七号线龙阳路辅助停车场 http://t.cn/RPWoCVr
100009,0,0,20150429 15:10:46,m,22,191,高架上的叫高铁//@虹摄库尔斯克:上海叫轻轨或轨交
100010,0,0,20140930 20:38:20,f,110,545,【气象小贴士：国庆假期天气】国庆期间我省大部天气较好，适宜出游，分散阵雨不扫游兴，5日后弱冷空气给晨晚带来清凉，更为舒适。放眼全国：没有大范围强降水和持续性雾或霾；另外，3日起粤东沿海风力较大，海边旅游注意安全。期间：北京，多云到晴，13-23度；上海多云17-26度 祝您节日愉快！广东气象
100011,0,0,20141224 12:46:55,f,3139,2210,回复@快乐筱军:嗯，地铁二号线上海路站3号出口，向西200米，就在江苏省中医院西边[嘻嘻] //@快乐筱军:回复@樱子花店:莫愁新遇那，具体靠哪儿。想去呢[偷笑]
