"","id","DMSM1","address","time"
"1",1,"伤人事故","泗陈公路出佘北公路东约2米","2014-8-29 18:30:00"
"2",2,"死亡事故","嘉松中路出华隆路南约3000米","2014-8-12 22:55:00"
"3",3,"死亡事故","大川公路进周祝公路北约500米","2015-4-15 8:10:00"
"4",4,"死亡事故","苏召路立跃路北约200米","2014-11-26 11:50:00"
"5",5,"死亡事故","港城路出杨高北路西约300米","2014-9-11 15:05:00"
"6",6,"死亡事故","康新公路进新卫路南约40米","2014-7-2 7:18:00"
"7",7,"死亡事故","新绿街进新绿街新颖路西约150米","2014-7-5 8:06:00"
"8",8,"伤人事故","江场西路原平路东约5米","2014-7-23 12:40:00"
"9",9,"财产损失事故","辰花公路出光星路西约100米","2014-7-19 10:35:00"
"10",10,"死亡事故","天目中路大统路东约1米","2014-7-7 20:17:00"
"11",11,"死亡事故","协定公路协津公路西约500米","2014-9-25 16:15:00"
"12",12,"死亡事故","剑川路进莲花南路东约300米","2014-7-7 23:39:00"
"13",13,"死亡事故","御青路京浦路西约20米","2014-7-21 17:22:00"
"14",14,"死亡事故","塔闵公路出松卫北路西约1000米","2014-7-7 17:25:00"
"15",15,"死亡事故","沪闵路贵都路南约5米","2014-7-17 18:05:00"
"16",16,"伤人事故","春西路申旺路南约30米","2014-7-16 22:23:00"
"17",17,"死亡事故","昆港公路出新港路南约80米","2014-8-23 22:58:00"
"18",18,"死亡事故","汇成路园西路东约1米","2014-8-3 11:55:00"
"19",19,"死亡事故","滨湖路出新松江路南约100米","2014-7-11 15:33:00"
"20",20,"死亡事故","外钱公路进墨玉北路东约300米","2014-10-30 22:50:00"
"21",21,"死亡事故","东川公路上川路北约600米","2014-9-18 19:25:00"
"22",22,"伤人事故","春都路都庄路东约100米","2014-9-3 12:16:00"
"23",23,"死亡事故","嘉松南路沈砖公路东北约20米","2014-7-9 19:34:00"
"24",24,"伤人事故","三鲁公路立跃路北约400米","2014-8-24 20:07:00"
"25",25,"伤人事故","联跃路浦星公路东约0米","2014-7-20 22:04:00"
"26",26,"死亡事故","沪闵路莘建路南约300米","2014-7-6 20:51:00"
"27",27,"伤人事故","立跃路立民路北约0米","2014-7-29 11:37:00"
"28",28,"死亡事故","共和新路出彭江路北约100米","2014-7-21 10:34:00"
"29",29,"伤人事故","方泗公路进九干路南约200米","2014-7-18 17:45:00"
"30",30,"死亡事故","政立路淞沪路东北约1米","2014-10-23 9:23:00"
"31",31,"死亡事故","张杨北路航津路东约10米","2014-8-5 17:09:00"
"32",32,"死亡事故","张东路祖冲之路东约1米","2014-9-11 19:57:00"
"33",33,"伤人事故","漕宝路进龙茗路东约100米","2014-7-6 21:58:00"
"34",34,"死亡事故","东高路张杨北路西约5米","2014-10-4 7:15:00"
"35",35,"伤人事故","沪渝高速北侧中春路下匝道后约1000米","2014-7-20 22:25:00"
"36",36,"死亡事故","五洲大道北侧申江路上匝道","五洲大道北侧申江路上匝道"
"37",37,"死亡事故","金展路林贤路南约200米","2014-8-6 8:56:00"
"38",38,"伤人事故","沪昆高速北侧36km约900米","2014-7-3 3:30:00"
"39",39,"死亡事故","崧泽大道出赵重公路东约1500米","2014-8-2 21:38:00"
"40",40,"死亡事故","北翟路出剑河路西约100米","2014-7-14 15:28:00"
"41",41,"死亡事故","玉树路进兴仓路北约80米","2014-7-12 19:40:00"
"42",42,"伤人事故","外环高速东侧85km约200米","2014-7-23 4:05:00"
"43",43,"死亡事故","恒高路进江杨南路东约30米","2014-8-29 18:32:00"
"44",44,"死亡事故","嘉松中路纪鹤公路西北约10米","2014-7-23 8:01:00"
"45",45,"死亡事故","老沪闵路进华泾路西约200米","2014-7-4 10:50:00"
"46",46,"死亡事故","新胜路进白石公路南约500米","2014-7-26 0:57:00"
"47",47,"死亡事故","龙吴路银都路西北约20米","2014-7-16 10:07:00"
"48",48,"死亡事故","申港路出华磊路南约500米","2014-8-3 20:15:00"
"49",49,"伤人事故","吴中路出环镇西路东约100米","2014-9-27 7:10:00"
"50",50,"死亡事故","泰和西路富长路东约500米","2014-7-31 17:35:00"
"51",51,"死亡事故","永盛路希望路东约1米","2014-8-6 15:35:00"
"52",52,"死亡事故","申江南路周祝公路(南)南约30米","2014-7-2 1:00:00"
"53",53,"死亡事故","高科中路伽利略路东约1米","2014-9-21 22:32:00"
"54",54,"死亡事故","宝钱公路沪宜公路北约1米","2014-8-30 6:40:00"
"55",55,"死亡事故","南团公路进宣黄公路南约300米","2014-9-27 18:10:00"
"56",56,"死亡事故","联友路周泾路东北约5米","2014-7-22 17:09:00"
"57",57,"伤人事故","周家嘴路公平路南约00米","2014-7-21 15:15:00"
"58",58,"死亡事故","其他路大华路301弄83号","2014-7-8 9:29:00"
"59",59,"死亡事故","同利路进盛龙路西约500米","2014-8-12 9:55:00"
"60",60,"死亡事故","卫六路进板桥西路南约100米","2014-10-14 17:54:00"
"61",61,"死亡事故","栏学路科农路东约1米","2014-9-23 10:10:00"
"62",62,"死亡事故","宝安公路进联杨路西约200米","2014-7-30 9:16:00"
"63",63,"死亡事故","金昌西路老翔黄路西约300米","2014-8-21 12:45:00"
"64",64,"伤人事故","九泾路进沧泾路北约200米","2014-8-10 21:00:00"
"65",65,"死亡事故","亭枫公路金石公路东约50米","2014-9-17 12:14:00"
"66",66,"伤人事故","银都路景洪路西约200米","2014-9-29 21:50:00"
"67",67,"死亡事故","川周公路秀浦路西约10米","2014-7-21 3:46:00"
"68",68,"死亡事故","曹安公路出淞阳南路西约300米","2014-8-19 19:35:00"
"69",69,"死亡事故","沪南公路康新公路东约5米","2014-7-4 12:25:00"
"70",70,"死亡事故","沪昆高速北侧47km约200米","2014-7-7 14:33:00"
"71",71,"死亡事故","新建一路澄浏公路南约30米","2014-7-9 8:43:00"
"72",72,"死亡事故","上丰路进金丰路南约1米","2014-7-10 17:59:00"
"73",73,"死亡事故","杜村公路出友爱路北约1000米","2014-7-12 11:07:00"
"74",74,"死亡事故","嘉罗公路迎园中路北约10米","2014-8-25 13:35:00"
"75",75,"死亡事故","营口路出佳木斯路北约150米","2014-11-17 6:30:00"
"76",76,"伤人事故","七莘路润虹路东北约0米","2014-7-22 9:10:00"
"77",77,"死亡事故","其他路航头镇海桥村","2014-7-13 16:50:00"
"78",78,"死亡事故","文翔路辰塔路西约5米","2014-7-27 11:32:00"
"79",79,"伤人事故","场东路出莘松路南约100米","2014-9-18 19:22:00"
"80",80,"死亡事故","沪青平公路进高泾路东约5米","2014-7-17 10:08:00"
"81",81,"死亡事故","巨峰路进申江路东约400米","2014-8-14 17:15:00"
"82",82,"死亡事故","中山中路出人民南路(东)东约3米","2014-7-7 3:55:00"
"83",83,"死亡事故","其他路庙镇合中村路","2014-7-14 15:10:00"
"84",84,"死亡事故","荣乐东路松东路东约10米","2014-7-4 20:05:00"
"85",85,"伤人事故","沪闵路新苗路北约5米","2014-7-30 6:17:00"
"86",86,"死亡事故","宝祁路南侧0km约319米","2014-8-13 14:42:00"
"87",87,"死亡事故","<U+FFFD>川路联谊路路口","<U+FFFD>川路联谊路路口"
"88",88,"死亡事故","靖海路进人民东路南约50米","2014-7-6 3:08:00"
"89",89,"死亡事故","漕廊公路进沪杭公路西约50米","2014-9-17 2:27:00"
"90",90,"死亡事故","亭枫公路新顺路西约150米","2014-9-16 7:15:00"
"91",91,"死亡事故","下盐路军港公路东约1米","2014-8-28 8:25:00"
"92",92,"死亡事故","浦星公路出沈杜公路南约100米","2014-7-9 3:44:00"
"93",93,"伤人事故","莘砖公路同乐路北约3米","2014-8-20 4:18:00"
"94",94,"死亡事故","川南奉公路进东大公路北约1000米","2014-7-6 12:20:00"
"95",95,"死亡事故","古浪路进真南路东约100米","2014-7-26 2:40:00"
"96",96,"死亡事故","沪昆高速出沪方向新桥入口匝道","2014-7-7 16:55:00"
"97",97,"死亡事故","普庆路进德兴街东约1米","2014-7-1 19:12:00"
"98",98,"死亡事故","交通路进泾惠路西约150米","2014-10-12 0:26:00"
"99",99,"死亡事故","周家嘴路出许昌路西约20米","2014-9-14 11:25:00"
"100",100,"死亡事故","天辰路向阳河路西约5米","2014-9-5 19:13:00"
"101",101,"死亡事故","金石公路出亭枫公路南约300米","2014-10-2 10:03:00"
"102",102,"伤人事故","浦放路进鲁陈路西约1500米","2014-7-28 13:11:00"
"103",103,"死亡事故","川沙路储七路东约1米","2014-12-12 18:09:00"
"104",104,"死亡事故","杨高北一路出港华路南约100米","2014-10-1 10:35:00"
"105",105,"死亡事故","中春路顾戴路北约5米","2014-8-11 9:42:00"
"106",106,"伤人事故","<U+FFFD>藻南路江杨南路路口","<U+FFFD>藻南路江杨南路路口"
"107",107,"伤人事故","泗凤公路新家园路东约1米","2014-9-22 22:52:00"
"108",108,"死亡事故","巨峰路进申江路东约10米","2014-7-11 17:21:00"
"109",109,"死亡事故","上丰路进达丰路北约100米","2014-8-22 11:48:00"
"110",110,"死亡事故","沪宜公路嘉安公路(西)南约1米","2014-9-17 9:19:00"
"111",111,"死亡事故","宝安公路东侧0km约2165米","2014-10-16 9:18:00"
"112",112,"死亡事故","海霞路进川南奉公路东约80米","2014-7-23 18:10:00"
"113",113,"死亡事故","芦五公路妙香路东约5米","2014-8-1 9:33:00"
"114",114,"死亡事故","周祝公路进南六公路西约50米","2014-9-10 15:07:00"
"115",115,"死亡事故","上海绕城高速南侧上海绕城高速龙东大道南向东下匝道前约50米","2014-7-25 21:50:00"
"116",116,"死亡事故","江月路浦星公路北约0米","2014-8-3 14:50:00"
"117",117,"死亡事故","光星路茸平路南约5米","2014-8-4 18:20:00"
"118",118,"死亡事故","叶新公路进许村公路西约500米","2014-7-12 8:14:00"
"119",119,"死亡事故","亭枫公路兴豪路东约500米","2014-8-26 10:18:00"
"120",120,"死亡事故","金都路春西路西约10米","2014-10-29 17:20:00"
"121",121,"死亡事故","富特中路新灵路北约00米","2014-12-3 16:07:00"
"122",122,"伤人事故","内环高架外侧NW0937约5米","2014-10-3 5:16:00"
"123",123,"死亡事故","港沿公路草港公路东约200米","2014-8-15 19:30:00"
"124",124,"死亡事故","京沪高速东侧1207.4km约1米","2014-9-22 3:00:00"
"125",125,"伤人事故","沪青平公路七莘路南约5米","2014-8-14 7:26:00"
"126",126,"死亡事故","虹梅南路出元江路北约150米","2014-10-4 12:40:00"
"127",127,"死亡事故","沈海高速东侧1282km约300米","2014-10-27 22:05:00"
"128",128,"死亡事故","宝杨路淞宝路路口","宝杨路淞宝路路口"
"129",129,"死亡事故","陈海公路出前竖公路北约10米","2014-8-18 7:40:00"
"130",130,"伤人事故","沪青平公路申昆路西北约10米","2014-11-13 17:44:00"
"131",131,"死亡事故","京沪高速东侧1218km约200米","2014-7-22 2:10:00"
"132",132,"死亡事故","拱极东路盐大路东约1米","2014-7-28 10:25:00"
"133",133,"死亡事故","崧泽大道外青松公路东约5米","2014-10-6 9:55:00"
"134",134,"伤人事故","中环高架内侧ZN0906约0米","2014-9-11 12:01:00"
"135",135,"伤人事故","嘉松南路泗陈公路北约10米","2014-8-19 20:54:00"
"136",136,"死亡事故","松东路进环城路北约150米","2014-9-14 3:18:00"
"137",137,"伤人事故","陈行公路浦星公路北约0米","2014-9-22 21:00:00"
"138",138,"死亡事故","金廊公路朱吕公路南约3000米","2014-8-31 15:50:00"
"139",139,"死亡事故","沈杜公路浦星公路东约0米","2014-10-18 21:20:00"
"140",140,"死亡事故","香闵路进香车路南约20米","2014-7-19 20:10:00"
"141",141,"死亡事故","漕廊公路东贤路东约10米","2014-10-7 18:42:00"
"142",142,"死亡事故","久业路出北青公路北约100米","2014-7-19 23:15:00"
"143",143,"死亡事故","妙境路进青厦路南约30米","2014-7-16 11:39:00"
"144",144,"死亡事故","上川路华东路东北约15米","2014-8-25 11:12:00"
"145",145,"死亡事故","沪闵路北松公路南约50米","2014-8-8 11:20:00"
"146",146,"死亡事故","川周公路平川路南约20米","2014-10-22 8:20:00"
"147",147,"死亡事故","打浦路进斜土路北约100米","2014-7-25 8:10:00"
"148",148,"死亡事故","双丁路德富路西约2米","2014-9-5 15:09:00"
"149",149,"死亡事故","嘉行公路新建一路北约1米","2014-8-29 23:18:00"
"150",150,"死亡事故","奉炮公路东侧2km约200米","2014-8-21 22:14:00"
"151",151,"伤人事故","宛平南路出斜土路南约200米","2014-8-12 0:12:00"
"152",152,"死亡事故","新四平公路进川南奉公路北约500米","2014-7-13 6:50:00"
"153",153,"死亡事故","金沙江西路金园一路西约1米","2014-11-12 15:50:00"
"154",154,"死亡事故","草港公路出陈<U+009C><U+FFFD><U+FFFD>肺髟<U+FFFD>0米","2014-10-23 14:56:00"
"155",155,"死亡事故","川沙路出上川路南约20米","2014-7-21 7:35:00"
"156",156,"死亡事故","申江路出锦绣东路北约200米","2014-8-26 23:42:00"
"157",157,"死亡事故","沈海高速北侧1268km约500米","2014-8-4 22:30:00"
"158",158,"死亡事故","瑞丰路进丰翔路北约400米","2014-9-30 5:10:00"
"159",159,"伤人事故","广粤路进广灵四路北约200米","2014-11-18 16:34:00"
"160",160,"死亡事故","申江南路进古丹路北约500米","2014-7-18 14:09:00"
"161",161,"死亡事故","龙吴路出北吴路北约100米","2014-8-21 19:26:00"
"162",162,"死亡事故","新四平公路进川南奉公路南约2米","2014-8-1 4:35:00"
"163",163,"死亡事故","新府中路进华志路南约1000米","2014-9-30 22:18:00"
"164",164,"死亡事故","东三里桥路南码头路东约1米","2014-9-7 11:13:00"
"165",165,"死亡事故","嘉罗公路施曹公路东约500米","2014-9-21 9:07:00"
"166",166,"死亡事故","立跃路立民路西约0米","2014-10-19 13:12:00"
"167",167,"死亡事故","嘉安公路嘉松北路西约300米","2014-9-5 20:05:00"
"168",168,"死亡事故","水产路铁山路路口","水产路铁山路路口"
"169",169,"伤人事故","昆阳路出江川路北约300米","2014-8-28 19:38:00"
"170",170,"死亡事故","大渡河路怒江北路北约0米","2014-10-2 23:33:00"
"171",171,"死亡事故","上塑路进沿钱路东约800米","2014-8-15 9:40:00"
"172",172,"死亡事故","西环路进闵松路南约300米","2014-9-30 3:59:00"
"173",173,"死亡事故","同顺大道茂祥路东约5米","2014-11-8 18:30:00"
"174",174,"死亡事故","袜子弄出中山东路北约150米","2014-7-10 10:48:00"
"175",175,"死亡事故","外环高速外侧约80km","外环高速外侧约80km"
"176",176,"伤人事故","周家嘴路新建路西约00米","2014-7-16 0:10:00"
"177",177,"死亡事故","衡山路余庆路东约5米","2014-8-10 6:48:00"
"178",178,"死亡事故","真南路出红柳路东约50米","2014-8-6 17:52:00"
"179",179,"死亡事故","草港公路建设公路西约500米","2014-9-24 9:27:00"
"180",180,"死亡事故","中山南路会馆弄西约0米","2014-8-25 5:20:00"
"181",181,"死亡事故","山房公路东侧2km约100米","2014-9-13 16:50:00"
"182",182,"死亡事故","四平公路东侧2km约400米","2014-7-31 20:23:00"
"183",183,"伤人事故","纪翟路出北青公路北约200米","2014-9-14 13:28:00"
"184",184,"死亡事故","柳州路出宜山路北约150米","2014-8-6 7:35:00"
"185",185,"死亡事故","顾唐路上丰路东约1米","2014-10-15 20:20:00"
"186",186,"伤人事故","莲花南路向阳路北约20米","2014-9-10 18:44:00"
"187",187,"死亡事故","大叶公路东侧41km约100米","2014-7-2 19:00:00"
"188",188,"死亡事故","昆港公路进佘天昆公路南约200米","2014-8-11 4:55:00"
"189",189,"死亡事故","剑川路虹梅南路东约1米","2014-9-23 15:00:00"
"190",190,"死亡事故","高科东路顾唐路东约1米","2014-7-31 17:38:00"
"191",191,"死亡事故","漕盈公路清河湾路(南)南约5米","2014-9-5 17:45:00"
"192",192,"死亡事故","莲花南路出东川路南约500米","2014-9-19 17:48:00"
"193",193,"死亡事故","申江南路川周公路南约5米","2014-7-18 8:23:00"
"194",194,"死亡事故","沪太公路月罗公路路口","沪太公路月罗公路路口"
"195",195,"死亡事故","大叶公路进车亭公路东约2700米","2014-9-19 2:50:00"
"196",196,"死亡事故","外环高速西侧外环高速内侧长清路下匝道前约20米","2014-9-12 19:49:00"
"197",197,"死亡事故","佘北公路桃源路北约80米","2014-8-13 3:00:00"
