id,SGBH,DMSM1,SGDD,SGFSSJ
1,3.10118E+15,伤人事故,泗陈公路出佘北公路东约2米,2014/8/29 18:30
2,3.10118E+15,死亡事故,嘉松中路出华隆路南约3000米,2014/8/12 22:55
3,3.10116E+15,死亡事故,大川公路进周祝公路北约500米,2015/4/15 8:10
4,3.10112E+15,死亡事故,苏召路立跃路北约200米,2014/11/26 11:50
5,3.10116E+15,死亡事故,港城路出杨高北路西约300米,2014/9/11 15:05
6,3.10116E+15,死亡事故,康新公路进新卫路南约40米,2014/7/2 7:18
7,3.10117E+15,死亡事故,新绿街进新绿街新颖路西约150米,2014/7/5 8:06
8,3.10109E+15,伤人事故,江场西路原平路东约5米,2014/7/23 12:40
9,3.10117E+15,财产损失事故,辰花公路出光星路西约100米,2014/7/19 10:35
10,3.10109E+15,死亡事故,天目中路大统路东约1米,2014/7/7 20:17
11,3.1023E+15,死亡事故,协定公路协津公路西约500米,2014/9/25 16:15
12,3.10112E+15,死亡事故,剑川路进莲花南路东约300米,2014/7/7 23:39
13,3.10115E+15,死亡事故,御青路京浦路西约20米,2014/7/21 17:22
14,3.10117E+15,死亡事故,塔闵公路出松卫北路西约1000米,2014/7/7 17:25
15,3.10113E+15,死亡事故,沪闵路贵都路南约5米,2014/7/17 18:05
16,3.10113E+15,伤人事故,春西路申旺路南约30米,2014/7/16 22:23
17,3.10118E+15,死亡事故,昆港公路出新港路南约80米,2014/8/23 22:58
18,3.10115E+15,死亡事故,汇成路园西路东约1米,2014/8/3 11:55
19,3.10117E+15,死亡事故,滨湖路出新松江路南约100米,2014/7/11 15:33
20,3.10115E+15,死亡事故,外钱公路进墨玉北路东约300米,2014/10/30 22:50
21,3.10115E+15,死亡事故,东川公路上川路北约600米,2014/9/18 19:25
22,3.10112E+15,伤人事故,春都路都庄路东约100米,2014/9/3 12:16
23,3.10117E+15,死亡事故,嘉松南路沈砖公路东北约20米,2014/7/9 19:34
24,3.10113E+15,伤人事故,三鲁公路立跃路北约400米,2014/8/24 20:07
25,3.10113E+15,伤人事故,联跃路浦星公路东约0米,2014/7/20 22:04
26,3.10112E+15,死亡事故,沪闵路莘建路南约300米,2014/7/6 20:51
27,3.10112E+15,伤人事故,立跃路立民路北约0米,2014/7/29 11:37
28,3.10109E+15,死亡事故,共和新路出彭江路北约100米,2014/7/21 10:34
